agent,model,runs,tasks,success_rate,task_adjusted_success_lift,trace_coverage,mean_tool_call_count,mean_duration_seconds,mean_cost_cents,mean_first_edit_step,mean_command_intent_entropy,mean_tool_category_entropy,mean_failure_rate,mean_repeated_tool_command_rate,mean_post_failure_tool_calls,mean_search_intent_calls,mean_read_intent_calls,mean_test_intent_calls,mean_build_intent_calls,search_read_share,verification_share,exploration_raw,recovery_churn_raw,success,task_lift,tool_intensity,exploration_diversity,search_read_intensity,edit_eagerness,verification_intensity,recovery_churn,group_label,spider_area
codex,gpt-5@openai,439,89,0.4943,0.0974,0.9317,15.7472,603.3013,16.7074,,1.5237,0.2613,0.108,0.0979,10.4852,0.7995,2.1048,0.0251,0.2437,0.1844,0.0171,0.8925,0.1052,0.6459,0.6456,0.0997,0.3685,0.4563,0.6476,0.343,0.0658,codex / gpt-5@openai,0.4091
terminus-2,gpt-5.1@openai,445,89,0.4764,0.0803,1.0,38.0944,845.7476,41.7167,,2.0359,0.3953,0.0323,0.2153,4.7775,3.6202,8.6022,0.1303,0.6809,0.3208,0.0213,1.2156,0.0958,0.621,0.6218,0.3085,0.5967,0.9147,0.6476,0.4279,0.0474,terminus-2 / gpt-5.1@openai,0.5232
codex,gpt-5-codex@openai,436,89,0.4427,0.0461,0.3853,10.8394,959.5469,10.2049,,1.5486,0.3702,0.0845,0.1162,8.5115,0.5459,0.8922,0.0069,0.1009,0.1327,0.0099,0.9594,0.0954,0.574,0.5744,0.0539,0.4158,0.2824,0.6476,0.1998,0.0467,codex / gpt-5-codex@openai,0.3493
terminus-2,gpt-5-codex@openai,437,89,0.4416,0.0425,1.0,31.7941,997.2302,34.2637,,1.9143,0.3525,0.0621,0.2124,17.7346,1.9817,5.1579,0.0618,0.5721,0.2246,0.0199,1.1334,0.1576,0.5726,0.5695,0.2496,0.5387,0.5911,0.6476,0.4006,0.1686,terminus-2 / gpt-5-codex@openai,0.4673
openhands,gpt-5@openai,445,89,0.4382,0.0424,0.9798,35.1079,1105.8944,48.7157,12.8188,1.8313,1.0245,0.0451,0.5958,18.6539,1.1865,2.3146,0.0539,0.4022,0.0997,0.013,1.4279,0.2835,0.5678,0.5693,0.2806,0.7467,0.1716,0.7368,0.2611,0.4154,openhands / gpt-5@openai,0.4687
terminus-2,claude-sonnet-4-5-20250929@anthropic,440,89,0.4318,0.0337,1.0,45.2409,818.5288,52.0525,,2.0357,0.3173,0.0617,0.1912,24.9,1.9932,6.6068,0.1,1.0432,0.1901,0.0253,1.1765,0.1796,0.5589,0.5572,0.3752,0.5691,0.4753,0.6476,0.5077,0.2118,terminus-2 / claude-sonnet-4-5-20250929@anthropic,0.4879
mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,442,89,0.4253,0.0294,0.948,41.1968,760.3679,62.7258,,1.9268,0.0,0.083,0.0651,27.7421,2.543,7.3846,0.086,1.2104,0.241,0.0315,0.9634,0.1563,0.5499,0.5511,0.3374,0.4186,0.6463,0.6476,0.6323,0.1661,mini-swe-agent / claude-sonnet-4-5-20250929@anthropic,0.4937
openhands,claude-sonnet-4-5-20250929@anthropic,443,89,0.4244,0.0292,0.9887,94.1287,791.4437,78.6339,13.637,2.2489,1.3237,0.038,0.6514,62.1196,3.1783,4.6501,0.2754,1.8172,0.0832,0.0222,1.7863,0.4769,0.5486,0.551,0.8318,1.0,0.116,0.7097,0.4467,0.7947,openhands / claude-sonnet-4-5-20250929@anthropic,0.6248
terminus-2,minimax-m2.5@Minimax,445,89,0.4225,0.0267,0.9236,33.8584,1096.3296,0.0,,1.9978,0.2965,0.069,0.1549,19.4382,1.0022,5.4989,0.0562,0.7438,0.192,0.0236,1.1472,0.1477,0.5459,0.5474,0.2689,0.5484,0.4818,0.6476,0.4748,0.1493,terminus-2 / minimax-m2.5@Minimax,0.458
mini-swe-agent,gpt-5-codex@openai,444,89,0.4144,0.0181,0.9595,22.3559,949.6015,36.424,,1.8872,0.0,0.1006,0.0633,15.4369,1.5068,3.7027,0.0811,0.3716,0.233,0.0202,0.9436,0.1114,0.5347,0.5356,0.1615,0.4046,0.6196,0.6476,0.4069,0.078,mini-swe-agent / gpt-5-codex@openai,0.4236
claude-code,claude-sonnet-4-5-20250929@anthropic,437,89,0.3959,-0.0008,0.9245,30.9908,618.6107,62.4769,20.2994,1.8368,1.2439,0.0835,0.297,19.2769,0.6934,4.1327,0.0778,0.8764,0.1557,0.0308,1.5404,0.1992,0.5089,0.5093,0.2421,0.8262,0.3598,0.4892,0.6187,0.2503,claude-code / claude-sonnet-4-5-20250929@anthropic,0.4756
terminus-2,deepseek-v3.2@deepseek,445,89,0.3955,-0.0003,0.8382,60.4247,764.1636,1.2288,,2.188,0.2128,0.071,0.1694,31.3191,3.9011,8.9775,0.1416,1.1169,0.2131,0.0208,1.2004,0.2016,0.5084,0.5099,0.517,0.586,0.5528,0.6476,0.4185,0.255,terminus-2 / deepseek-v3.2@deepseek,0.4994
terminus-2,claude-opus-4-1-20250805@anthropic,443,89,0.3815,-0.0154,0.9955,43.921,710.6906,187.937,,2.0235,0.356,0.0645,0.2072,21.693,1.7472,5.3025,0.088,1.167,0.1605,0.0286,1.1897,0.1728,0.4889,0.4889,0.3629,0.5785,0.3759,0.6476,0.5742,0.1984,terminus-2 / claude-opus-4-1-20250805@anthropic,0.4644
openhands,claude-opus-4-1-20250805@anthropic,445,89,0.3685,-0.0273,0.9888,79.2652,776.2754,339.372,15.6089,2.0857,1.2769,0.0508,0.6702,53.5551,2.6652,1.8247,0.2022,2.0315,0.0566,0.0282,1.6813,0.4525,0.4709,0.4725,0.693,0.9258,0.0269,0.6445,0.5662,0.7468,openhands / claude-opus-4-1-20250805@anthropic,0.5683
terminus-2,gpt-5.1-codex@openai,445,89,0.3685,-0.0273,1.0,31.2067,1206.5645,31.0059,,1.9392,0.3415,0.0667,0.2155,17.1955,1.6135,4.9034,0.1326,0.5438,0.2088,0.0217,1.1403,0.158,0.4709,0.4725,0.2441,0.5436,0.5383,0.6476,0.4355,0.1694,terminus-2 / gpt-5.1-codex@openai,0.4402
claude-code,minimax-m2.1@minimax,445,89,0.3663,-0.0295,0.9888,35.5753,771.5567,0.0,26.0343,1.7105,1.1821,0.093,0.2668,24.4045,0.8472,4.8135,0.0607,1.0652,0.1591,0.0316,1.4463,0.2132,0.4678,0.4694,0.2849,0.7598,0.3712,0.2995,0.6359,0.2777,claude-code / minimax-m2.1@minimax,0.4458
terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,892,89,0.3587,-0.0381,1.0,60.7377,971.4055,119.2909,,2.009,0.277,0.1269,0.2155,42.5336,2.8901,9.8991,0.0919,1.5673,0.2106,0.0273,1.143,0.2813,0.4573,0.4574,0.52,0.5455,0.5441,0.6476,0.5489,0.4113,terminus-2 / moonshotai/Kimi-K2-Thinking@together_ai,0.5165
terminus-2,gpt-5@openai,438,89,0.3562,-0.0415,0.9954,46.3562,859.91,28.766,,1.9066,0.3723,0.0162,0.2508,3.2717,2.6279,8.4795,0.2443,0.6644,0.2396,0.0196,1.1395,0.0961,0.4537,0.4527,0.3856,0.543,0.6417,0.6476,0.3939,0.0482,terminus-2 / gpt-5@openai,0.4458
mini-swe-agent,claude-opus-4-1-20250805@anthropic,444,89,0.3514,-0.0451,0.9662,29.4212,649.4008,171.8077,,1.9293,0.0,0.0963,0.0648,19.5405,1.277,4.8581,0.0946,0.9797,0.2085,0.0365,0.9646,0.1271,0.447,0.4477,0.2275,0.4195,0.5373,0.6476,0.7337,0.109,mini-swe-agent / claude-opus-4-1-20250805@anthropic,0.4461
claude-code,claude-opus-4-1-20250805@anthropic,437,89,0.3478,-0.0488,0.9245,31.4897,618.7119,298.541,25.7399,1.9263,1.3874,0.0757,0.3423,18.6957,0.8078,4.0343,0.0641,0.6522,0.1538,0.0227,1.6569,0.2094,0.4421,0.4425,0.2468,0.9085,0.3533,0.3092,0.457,0.2701,claude-code / claude-opus-4-1-20250805@anthropic,0.4287
mini-swe-agent,gpt-5@openai,445,89,0.3393,-0.0565,0.9708,8.8045,810.5228,32.9568,,1.2255,0.0,0.2137,0.0027,5.2382,0.1618,0.5124,0.0067,0.1371,0.0766,0.0163,0.6128,0.0873,0.4303,0.4319,0.0349,0.1708,0.0938,0.6476,0.3282,0.0308,mini-swe-agent / gpt-5@openai,0.271
terminus-2,gemini-2.5-pro@gemini,442,89,0.3281,-0.0681,1.0,30.6086,697.8175,43.9225,,1.9487,0.4884,0.0641,0.279,13.0611,0.7828,3.4525,0.1719,1.0136,0.1384,0.0387,1.2186,0.1614,0.4146,0.4157,0.2386,0.5989,0.3015,0.6476,0.7782,0.1761,terminus-2 / gemini-2.5-pro@gemini,0.4464
codex,gpt-5-mini@openai,437,89,0.3158,-0.0805,0.9382,14.5561,525.1283,3.0314,,1.4591,0.2361,0.1067,0.0879,9.8261,0.9794,2.254,0.0458,0.2037,0.2221,0.0171,0.8476,0.0987,0.3975,0.3985,0.0886,0.3368,0.583,0.6476,0.3443,0.0532,codex / gpt-5-mini@openai,0.3562
terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,902,89,0.306,-0.0909,1.0,47.1419,933.3097,31.9613,,1.9644,0.3178,0.1203,0.2316,32.6774,1.98,9.2627,0.0931,0.9978,0.2385,0.0231,1.1411,0.2443,0.3839,0.3841,0.393,0.5441,0.638,0.6476,0.465,0.3387,terminus-2 / accounts/fireworks/models/minimax-m2@fireworks_ai,0.4743
mini-swe-agent,claude-haiku-4-5-20251001@anthropic,444,89,0.2973,-0.0984,0.964,38.3671,553.7927,22.3415,,1.7724,0.0,0.1243,0.0453,30.2838,2.6509,8.4009,0.1284,0.9662,0.2881,0.0285,0.8862,0.1738,0.3718,0.3737,0.311,0.364,0.8045,0.6476,0.5733,0.2004,mini-swe-agent / claude-haiku-4-5-20251001@anthropic,0.4558
terminus-2,minimax-m2.1@openai,438,89,0.2968,-0.101,1.0,51.0685,916.7981,0.0,,1.9868,0.345,0.0651,0.2125,28.3881,1.8105,7.3607,0.0845,1.9429,0.1796,0.0397,1.1659,0.2021,0.3711,0.37,0.4296,0.5617,0.44,0.6476,0.7977,0.2558,terminus-2 / minimax-m2.1@openai,0.4842
openhands,gpt-5-mini@openai,445,89,0.2921,-0.1037,0.964,41.5213,1127.7775,9.4847,10.0432,1.765,0.8219,0.0669,0.5399,30.2337,1.8337,4.4966,0.2022,0.6944,0.1525,0.0216,1.2935,0.3193,0.3646,0.3664,0.3405,0.6518,0.3489,0.8287,0.4339,0.4857,openhands / gpt-5-mini@openai,0.4775
terminus-2,claude-haiku-4-5-20251001@anthropic,439,89,0.2847,-0.1122,1.0,46.5353,729.4929,23.6117,,2.0153,0.3578,0.0654,0.2171,23.6128,1.8292,7.3986,0.1071,1.6469,0.1983,0.0377,1.1866,0.1842,0.3543,0.3545,0.3873,0.5762,0.5029,0.6476,0.7574,0.2208,terminus-2 / claude-haiku-4-5-20251001@anthropic,0.4751
terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,923,89,0.2795,-0.1166,1.0,42.5255,636.7013,88.3941,,2.0384,0.3589,0.0914,0.2098,26.5005,1.7963,8.2405,0.0867,1.1961,0.236,0.0302,1.1986,0.2022,0.3471,0.3484,0.3499,0.5848,0.6297,0.6476,0.6061,0.2562,terminus-2 / moonshotai/Kimi-K2-Instruct-0905@together_ai,0.4712
claude-code,claude-haiku-4-5-20251001@anthropic,438,89,0.2763,-0.121,0.9201,33.0982,590.5781,25.9478,23.9941,1.8504,1.1945,0.0885,0.2678,22.5114,1.3105,4.5274,0.1005,1.2009,0.1764,0.0393,1.5224,0.2043,0.3425,0.3424,0.2618,0.8136,0.4292,0.367,0.79,0.2603,claude-code / claude-haiku-4-5-20251001@anthropic,0.4508
openhands,grok-4-0709@xai,444,89,0.2725,-0.124,0.9617,38.1486,1166.8723,2.886,17.9713,1.7733,1.0533,0.0506,0.6206,23.5968,0.7162,1.1396,0.1036,0.5203,0.0486,0.0164,1.4133,0.3137,0.3373,0.3381,0.309,0.7364,0.0,0.5663,0.3286,0.4748,openhands / grok-4-0709@xai,0.3863
openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,875,89,0.272,-0.1245,0.9829,96.3886,726.4311,146.3193,11.3302,1.9809,1.2617,0.0632,0.692,76.4583,3.0446,3.5749,0.2286,2.6766,0.0687,0.0301,1.6213,0.5573,0.3366,0.3375,0.8529,0.8834,0.0673,0.7861,0.6056,0.9523,openhands / moonshotai/Kimi-K2-Instruct-0905@together_ai,0.6027
mini-swe-agent,gemini-2.5-pro@gemini,444,89,0.2613,-0.135,0.9797,26.2027,650.6831,73.2047,,1.7832,0.0,0.1422,0.1248,17.4054,2.8401,3.1532,0.1126,0.9054,0.2287,0.0389,0.8916,0.1537,0.3217,0.3228,0.1974,0.3679,0.6052,0.6476,0.7807,0.1611,mini-swe-agent / gemini-2.5-pro@gemini,0.4255
mini-swe-agent,grok-code-fast-1@xai,445,89,0.2584,-0.1374,0.9798,22.827,352.1702,1.3086,,2.0203,0.0,0.1317,0.1282,14.5079,0.7258,3.9169,0.1034,0.6787,0.2034,0.0343,1.0101,0.1396,0.3177,0.3195,0.1659,0.4516,0.52,0.6476,0.6884,0.1333,mini-swe-agent / grok-code-fast-1@xai,0.4055
openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,878,89,0.2574,-0.1388,0.9909,100.3622,627.0327,329.8813,13.0382,1.9489,1.1192,0.0628,0.6821,83.2688,3.7836,3.8314,0.3052,2.344,0.0759,0.0264,1.5341,0.5816,0.3163,0.3176,0.89,0.8218,0.0915,0.7296,0.5304,1.0,openhands / Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,0.5871
mini-swe-agent,grok-4-0709@xai,445,89,0.2539,-0.1419,0.9281,21.9933,1187.7596,-19.6839,,1.8155,0.0,0.1077,0.0862,15.2831,0.827,5.4247,0.0652,0.5685,0.2843,0.0288,0.9078,0.1207,0.3115,0.3133,0.1581,0.3793,0.7918,0.6476,0.579,0.0964,mini-swe-agent / grok-4-0709@xai,0.4096
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,904,89,0.2478,-0.1501,1.0,57.5243,476.207,11.6913,,1.9911,0.3305,0.1323,0.233,40.3197,1.885,10.5398,0.0841,1.9004,0.216,0.0345,1.1608,0.2799,0.3029,0.3019,0.4899,0.558,0.5624,0.6476,0.6932,0.4085,terminus-2 / accounts/fireworks/models/glm-4p6@fireworks_ai,0.4956
terminus-2,gpt-5-mini@openai,438,89,0.2443,-0.1537,0.9977,62.9155,949.3009,6.3621,,1.9291,0.3671,0.013,0.2707,7.1461,2.6507,10.1804,0.3356,0.6598,0.2039,0.0158,1.1481,0.1175,0.2981,0.2969,0.5403,0.5491,0.5219,0.6476,0.3179,0.09,terminus-2 / gpt-5-mini@openai,0.4077
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,929,89,0.2411,-0.1553,0.9989,44.9709,668.1993,183.625,,2.0405,0.3345,0.0916,0.2279,30.7589,1.6857,8.3714,0.1098,1.4726,0.2236,0.0352,1.1875,0.2257,0.2936,0.2946,0.3727,0.5769,0.588,0.6476,0.707,0.3022,terminus-2 / Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,0.4728
terminus-2,grok-4-0709@xai,436,89,0.2362,-0.1628,1.0,26.6537,1070.1033,9.7164,,1.6484,0.4229,0.0432,0.2238,7.9908,0.3876,2.7683,0.0986,0.6445,0.1184,0.0279,1.0356,0.1154,0.2869,0.2842,0.2016,0.4696,0.2344,0.6476,0.5602,0.0859,terminus-2 / grok-4-0709@xai,0.3463
mini-swe-agent,gpt-5-mini@openai,445,89,0.2225,-0.1733,0.9753,10.3034,538.9285,5.22,,1.1679,0.0,0.1738,0.0174,6.2112,0.1483,1.0944,0.0292,0.0719,0.1206,0.0098,0.5839,0.0828,0.2677,0.2696,0.0489,0.1505,0.2418,0.6476,0.1972,0.022,mini-swe-agent / gpt-5-mini@openai,0.2307
gemini-cli,gemini-2.5-pro@gemini,437,89,0.1968,-0.1996,0.8719,16.3867,865.6403,40.9859,4.8663,1.5014,1.0605,0.3556,0.2611,13.0503,0.2975,2.1854,0.0847,0.4737,0.1515,0.0341,1.2809,0.2525,0.232,0.2332,0.1057,0.6429,0.3457,1.0,0.6847,0.3548,gemini-cli / gemini-2.5-pro@gemini,0.4499
terminus-2,openai/gpt-oss-120b@together_ai,925,89,0.1924,-0.2061,0.9989,29.6605,476.234,2.6852,,1.8776,0.5383,0.2143,0.3046,14.9665,1.3427,4.507,0.1146,1.2843,0.1972,0.0472,1.208,0.2278,0.2259,0.2241,0.2297,0.5914,0.4993,0.6476,0.9477,0.3062,terminus-2 / openai/gpt-oss-120b@together_ai,0.459
terminus-2,gemini-2.5-flash@gemini,439,89,0.1708,-0.2274,0.9977,73.8223,719.365,13.913,,1.6229,0.3846,0.0593,0.3244,36.4169,0.8907,5.18,0.1549,1.1253,0.0822,0.0173,1.0037,0.2702,0.1959,0.1945,0.6422,0.4471,0.1129,0.6476,0.3484,0.3894,terminus-2 / gemini-2.5-flash@gemini,0.3722
mini-swe-agent,gemini-2.5-flash@gemini,445,89,0.1708,-0.225,0.9708,40.6831,676.612,35.5068,,1.8011,0.0,0.1302,0.1665,31.8135,1.1528,4.9348,0.0674,1.5034,0.1496,0.0386,0.9006,0.2224,0.1958,0.1978,0.3326,0.3742,0.3394,0.6476,0.7758,0.2957,mini-swe-agent / gemini-2.5-flash@gemini,0.3949
openhands,gemini-2.5-flash@gemini,445,89,0.164,-0.2318,0.9798,78.7034,718.5163,21.4579,20.3352,1.8306,0.9673,0.0682,0.6433,62.9933,2.7416,3.1685,0.2247,1.4112,0.0751,0.0208,1.399,0.4878,0.1864,0.1884,0.6877,0.7263,0.0889,0.4881,0.4177,0.8161,openhands / gemini-2.5-flash@gemini,0.45
openhands,gemini-2.5-pro@gemini,445,89,0.164,-0.2318,0.9798,67.4315,552.4287,47.842,12.2282,1.6921,0.8933,0.0851,0.6593,56.4022,1.618,2.2652,0.3011,2.4989,0.0576,0.0415,1.2927,0.4719,0.1864,0.1884,0.5825,0.6512,0.03,0.7564,0.8344,0.7849,openhands / gemini-2.5-pro@gemini,0.5018
gemini-cli,gemini-2.5-flash@gemini,439,89,0.1549,-0.2414,0.9248,12.9681,575.9504,7.1392,4.915,1.3391,0.9909,0.3225,0.2569,9.2984,0.2118,2.0569,0.0547,0.4351,0.175,0.0378,1.165,0.2248,0.1737,0.1751,0.0738,0.561,0.4244,0.9984,0.7588,0.3005,gemini-cli / gemini-2.5-flash@gemini,0.4332
mini-swe-agent,openai/gpt-oss-120b@together_ai,887,89,0.1421,-0.2538,0.9966,11.5806,293.9312,1.7442,,1.4868,0.0,0.1576,0.0622,7.0688,0.522,1.9278,0.0361,0.1364,0.2115,0.0149,0.7434,0.0959,0.1558,0.1578,0.0608,0.2632,0.5474,0.6476,0.2993,0.0476,mini-swe-agent / openai/gpt-oss-120b@together_ai,0.2724
terminus-2,grok-code-fast-1@xai,445,89,0.1416,-0.2542,1.0,23.209,396.2722,0.9192,,1.8671,0.5757,0.0621,0.2805,6.7528,0.6045,2.7281,0.1258,1.0292,0.1436,0.0498,1.2214,0.1355,0.1552,0.1572,0.1694,0.6008,0.3191,0.6476,1.0,0.1253,terminus-2 / grok-code-fast-1@xai,0.3968
openhands,claude-haiku-4-5-20251001@anthropic,444,89,0.1396,-0.256,0.9414,42.759,1387.8205,703.732,35.0826,1.6019,0.5022,0.0661,0.4408,35.1689,1.6464,5.5968,0.0721,1.6194,0.1694,0.0396,1.052,0.3061,0.1525,0.1548,0.352,0.4812,0.4058,0.0,0.7948,0.4599,openhands / claude-haiku-4-5-20251001@anthropic,0.3501
codex,gpt-5-nano@openai,440,89,0.1159,-0.2811,0.9614,7.45,251.1915,0.5061,,1.2712,0.1222,0.1418,0.0387,4.3705,0.7432,0.9477,0.0977,0.0659,0.227,0.022,0.6967,0.0717,0.1195,0.1199,0.0223,0.2301,0.5992,0.6476,0.4413,0.0003,codex / gpt-5-nano@openai,0.2725
openhands,gpt-5-nano@openai,444,89,0.0991,-0.2966,0.9617,60.4414,1450.138,6.0166,24.3822,2.0557,0.7661,0.0596,0.5129,44.5203,4.9257,8.0158,0.4302,0.527,0.2141,0.0158,1.4109,0.3661,0.0961,0.0984,0.5172,0.7347,0.5561,0.3541,0.3182,0.5775,openhands / gpt-5-nano@openai,0.4065
terminus-2,gpt-5-nano@openai,436,89,0.0803,-0.3182,0.9977,112.1353,1221.1087,3.3785,,1.865,0.2316,0.0266,0.4711,24.0688,4.4839,17.9083,0.4289,1.633,0.1997,0.0184,1.0483,0.2578,0.0699,0.0684,1.0,0.4785,0.5076,0.6476,0.3695,0.3652,terminus-2 / gpt-5-nano@openai,0.4383
mini-swe-agent,gpt-5-nano@openai,445,89,0.0697,-0.3261,0.991,7.9034,319.1914,1.0742,,1.0461,0.0,0.1633,0.0402,3.9753,0.1146,1.0472,0.0067,0.0989,0.147,0.0134,0.523,0.0778,0.0551,0.0573,0.0265,0.1074,0.3305,0.6476,0.2685,0.0122,mini-swe-agent / gpt-5-nano@openai,0.1882
mini-swe-agent,openai/gpt-oss-20b@together_ai,888,89,0.0338,-0.362,0.9977,5.0676,159.2913,0.8261,,0.7419,0.0,0.1291,0.1019,1.527,0.0315,1.723,0.0,0.0,0.3462,0.0,0.371,0.077,0.0052,0.0076,0.0,0.0,1.0,0.6476,0.0,0.0107,mini-swe-agent / openai/gpt-oss-20b@together_ai,0.2089
terminus-2,openai/gpt-oss-20b@together_ai,932,89,0.03,-0.3674,1.0,12.2275,293.6439,4.523,,1.4435,0.6696,0.1882,0.2827,4.4506,0.1652,1.1202,0.0064,0.3927,0.1051,0.0326,1.0565,0.1689,0.0,0.0,0.0669,0.4844,0.1898,0.6476,0.6559,0.1908,terminus-2 / openai/gpt-oss-20b@together_ai,0.2794
