model,agent_a,agent_b,runs_a,runs_b,success_a,success_b,success_gap,mean_tool_calls_a,mean_tool_calls_b,tool_call_gap,switch_rate_gap,repeat_rate_gap,process_gap_score
claude-haiku-4-5-20251001@anthropic,mini-swe-agent,openhands,444,444,0.2973,0.1396,0.1577,38.3671,42.759,4.3919,0.1046,0.3955,16.8944
claude-opus-4-6@anthropic,claude-code,terminus-2,445,445,0.5798,0.6292,0.0494,27.3348,31.3438,4.009,0.4346,0.0764,16.784
gemini-2.5-flash@gemini,openhands,terminus-2,445,439,0.164,0.1708,0.0068,78.7034,73.8223,4.8811,0.1217,0.3189,15.8961
gpt-5-codex@openai,mini-swe-agent,terminus-2,444,437,0.4144,0.4416,0.0272,22.3559,31.7941,9.4382,0.065,0.1491,14.7907
claude-haiku-4-5-20251001@anthropic,mini-swe-agent,terminus-2,444,439,0.2973,0.2847,0.0126,38.3671,46.5353,8.1682,0.066,0.1718,14.1132
gpt-5@openai,codex,mini-swe-agent,439,445,0.4943,0.3393,0.155,15.7472,8.8045,6.9427,0.1659,0.0952,13.4702
grok-4-0709@xai,mini-swe-agent,terminus-2,445,436,0.2539,0.2362,0.0177,21.9933,26.6537,4.6604,0.1446,0.1376,11.7154
gemini-2.5-pro@gemini,mini-swe-agent,terminus-2,444,442,0.2613,0.3281,0.0668,26.2027,30.6086,4.4059,0.1131,0.1542,11.0884
claude-opus-4-6@anthropic,claude-code,terminus-3-3,445,442,0.5798,0.7489,0.1691,27.3348,28.6335,1.2987,0.3674,0.0148,10.8537
claude-haiku-4-5-20251001@anthropic,openhands,terminus-2,444,439,0.1396,0.2847,0.1451,42.759,46.5353,3.7763,0.0386,0.2237,10.3338
gpt-5-mini@openai,codex,mini-swe-agent,437,445,0.3158,0.2225,0.0933,14.5561,10.3034,4.2527,0.1638,0.0705,10.1102
grok-code-fast-1@xai,mini-swe-agent,terminus-2,445,445,0.2584,0.1416,0.1168,22.827,23.209,0.382,0.1759,0.1523,8.587
claude-sonnet-4-5-20250929@anthropic,mini-swe-agent,terminus-2,442,440,0.4253,0.4318,0.0065,41.1968,45.2409,4.0441,0.048,0.1261,8.3966
claude-opus-4-6@anthropic,terminus-2,terminus-3-3,445,442,0.6292,0.7489,0.1197,31.3438,28.6335,2.7103,0.0672,0.0912,6.6703
claude-opus-4-5-20251101@anthropic,claude-code,openhands,445,445,0.5213,0.5191,0.0022,36.8809,37.9371,1.0562,0.0257,0.1076,4.3887
gpt-5-nano@openai,codex,mini-swe-agent,440,445,0.1159,0.0697,0.0462,7.45,7.9034,0.4534,0.0786,0.0015,2.4559
