agent,model,runs,success_rate,mean_reward,median_duration_seconds,mean_cost_cents,mean_input_tokens,mean_output_tokens,trace_coverage,mean_tool_call_count,mean_first_edit_step,mean_pre_edit_tool_calls,mean_category_switch_rate,mean_repeated_tool_command_rate,mean_failure_rate,mean_post_failure_intent_entropy
terminus-2,claude-opus-4-5-20251101@anthropic,445,0.5775,0.5775,399.175,57.5539,943597.5843,14243.8112,1.0,44.5978,,,0.0824,0.1911,0.0563,1.8817
terminus-2,gemini-3-pro-preview@gemini,445,0.5685,0.5685,309.443,45.9953,320152.2427,24330.3483,1.0,30.209,,,0.0944,0.1955,0.0623,1.99
letta-code,gemini-3-pro-preview@google,445,0.5596,0.5596,303.42,0.0,,,0.0,0.0,,,,,,
goose,claude-opus-4-5@anthropic,442,0.5407,0.5407,268.7355,0.0,,,0.0,0.0,,,,,,
terminus-2,gpt-5.2@openai,444,0.5405,0.5405,537.4295,0.0,,,0.9977,47.5766,,,0.0711,0.1874,0.0124,1.7668
letta-code,gpt-5.1-codex@openai,445,0.5348,0.5348,509.055,0.0,,,0.0,0.0,,,,,,
terminus-2,glm-5@z-ai,442,0.5226,0.5226,601.153,0.0,0.0,0.0,0.8507,34.7489,,,0.0537,0.2119,0.0789,1.843
claude-code,claude-opus-4-5-20251101@anthropic,445,0.5213,0.5213,292.545,0.0,,,0.9798,36.8809,23.5664,13.2547,0.4889,0.2258,0.0845,1.8375
openhands,claude-opus-4-5-20251101@anthropic,445,0.5191,0.5191,416.359,0.0,,,0.9843,37.9371,6.5689,2.5689,0.4632,0.3334,0.0736,2.0142
terminus-2,gemini-3-flash-preview@gemini,445,0.5169,0.5169,286.689,0.0,,,0.9978,34.7506,,,0.1219,0.2102,0.0759,1.9991
opencode,claude-opus-4-5@anthropic,89,0.5169,0.5169,405.475,0.0,,,0.0,0.0,,,,,,
gemini-cli,gemini-3-flash-preview@google,445,0.5101,0.5101,442.452,0.0,,,0.0,0.0,,,,,,
codex,gpt-5@openai,439,0.4943,0.4943,232.584,16.7074,432748.277,9299.9632,0.9317,15.7472,,,0.1659,0.0979,0.108,1.3954
terminus-2,gpt-5.1@openai,445,0.4764,0.4764,600.896,41.7167,134251.6329,37152.0135,1.0,38.0944,,,0.0821,0.2153,0.0323,1.8786
gemini-cli,gemini-3-flash-preview@Google,445,0.4742,0.4742,599.633,15.2998,1012753.9318,17538.8045,0.0,0.0,,,,,,
TerminalBenchAgent,claude-sonnet-4-5@anthropic,445,0.4652,0.4652,392.449,0.0,,,0.0,0.0,,,,,,
codex,gpt-5-codex@openai,436,0.4427,0.4427,476.6095,10.2049,726519.3174,13109.024,0.3853,10.8394,,,0.1986,0.1162,0.0845,1.4923
terminus-2,gpt-5-codex@openai,437,0.4416,0.4416,743.464,34.2637,338144.4325,25337.9977,1.0,31.7941,,,0.065,0.2124,0.0621,1.7829
openhands,gpt-5@openai,445,0.4382,0.4382,947.978,48.7157,432297.6313,41003.3825,0.9798,35.1079,12.8188,7.6725,0.2033,0.5958,0.0451,1.6542
terminus-2,kimi-k2.5@kimi,435,0.4345,0.4345,474.791,0.0,987507.5379,17994.3333,0.0,0.0,,,,,,
terminus-2,claude-sonnet-4-5-20250929@anthropic,440,0.4318,0.4318,508.3605,52.0525,851824.508,12122.2916,1.0,45.2409,,,0.048,0.1912,0.0617,1.9376
codex,gpt-5.1-codex-mini@openai,445,0.4315,0.4315,283.273,11.4013,1559068.3823,22918.6253,0.0,0.0,,,,,,
goose,claude-sonnet-4-5@anthropic,445,0.4315,0.4315,337.676,0.0,,,0.0,0.0,,,,,,
mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,442,0.4253,0.4253,399.9015,62.7258,1125769.8831,15716.6921,0.948,41.1968,,,0.0,0.0651,0.083,1.7806
openhands,claude-sonnet-4-5-20250929@anthropic,443,0.4244,0.4244,558.206,78.6339,1508754.2397,15881.7511,0.9887,94.1287,13.637,8.6442,0.2408,0.6514,0.038,2.1729
terminus-2,minimax-m2.5@Minimax,445,0.4225,0.4225,926.264,0.0,268708.164,14468.3348,0.9236,33.8584,,,0.0399,0.1549,0.069,1.8265
mini-swe-agent,gpt-5-codex@openai,444,0.4144,0.4144,659.3875,36.424,342512.4988,28832.4329,0.9595,22.3559,,,0.0,0.0633,0.1006,1.7254
claude-code,claude-sonnet-4-5-20250929@anthropic,437,0.3959,0.3959,291.566,62.4769,2160015.3945,1370.5186,0.9245,30.9908,20.2994,9.4041,0.5505,0.297,0.0835,1.9412
terminus-2,deepseek-v3.2@deepseek,445,0.3955,0.3955,627.389,1.2288,668352.9843,15802.8539,0.8382,60.4247,,,0.022,0.1694,0.071,2.0895
terminus-2,claude-opus-4-1-20250805@anthropic,443,0.3815,0.3815,396.786,187.937,536760.2257,9672.6388,0.9955,43.921,,,0.0525,0.2072,0.0645,1.8276
openhands,claude-opus-4-1-20250805@anthropic,445,0.3685,0.3685,519.588,339.372,1235780.9523,15022.5818,0.9888,79.2652,15.6089,10.5948,0.2563,0.6702,0.0508,1.9619
terminus-2,gpt-5.1-codex@openai,445,0.3685,0.3685,853.839,31.0059,477108.1351,20181.982,1.0,31.2067,,,0.0626,0.2155,0.0667,1.7203
claude-code,minimax-m2.1@minimax,445,0.3663,0.3663,464.279,0.0,,,0.9888,35.5753,26.0343,9.7995,0.5027,0.2668,0.093,1.7874
terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,892,0.3587,0.3587,591.3495,119.2909,949991.6899,18533.2067,1.0,60.7377,,,0.0365,0.2155,0.1269,1.9405
terminus-2,gpt-5@openai,438,0.3562,0.3562,506.3665,28.766,168762.3242,22817.8584,0.9954,46.3562,,,0.0853,0.2508,0.0162,1.6588
goose,claude-haiku-4-5@anthropic,445,0.3551,0.3551,306.334,0.0,,,0.0,0.0,,,,,,
mini-swe-agent,claude-opus-4-1-20250805@anthropic,444,0.3514,0.3514,369.7735,171.8077,488231.2056,10227.1355,0.9662,29.4212,,,0.0,0.0648,0.0963,1.6954
spoox-m,gpt-5-mini@openai,445,0.3483,0.3483,879.823,0.0,,,0.0,0.0,,,,,,
claude-code,claude-opus-4-1-20250805@anthropic,437,0.3478,0.3478,346.214,298.541,1939287.0815,3678.5605,0.9245,31.4897,25.7399,12.2574,0.5854,0.3423,0.0757,1.908
terminus-2,glm-4.7@z-ai,427,0.3443,0.3443,630.1,0.0,,,0.0,0.0,,,,,,
mini-swe-agent,gpt-5@openai,445,0.3393,0.3393,534.88,32.9568,126513.9028,30157.8889,0.9708,8.8045,,,0.0,0.0027,0.2137,0.993
claude-code,GLM-4.7@z-ai,445,0.3326,0.3326,293.516,0.0,7146.0409,315.8659,0.0,0.0,,,,,,
terminus-2,gemini-2.5-pro@gemini,442,0.3281,0.3281,364.6585,43.9225,328509.9638,32248.4457,1.0,30.6086,,,0.1131,0.279,0.0641,1.8701
codex,gpt-5-mini@openai,437,0.3158,0.3158,175.097,3.0314,362380.2822,7329.0779,0.9382,14.5561,,,0.1638,0.0879,0.1067,1.4071
terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,902,0.306,0.306,727.014,31.9613,1002230.6615,16972.8374,1.0,47.1419,,,0.0498,0.2316,0.1203,1.8483
mini-swe-agent,claude-haiku-4-5-20251001@anthropic,444,0.2973,0.2973,246.717,22.3415,1164768.1379,15774.6659,0.964,38.3671,,,0.0,0.0453,0.1243,1.6772
terminus-2,minimax-m2.1@openai,438,0.2968,0.2968,417.954,0.0,,,1.0,51.0685,,,0.0584,0.2125,0.0651,1.8745
openhands,gpt-5-mini@openai,445,0.2921,0.2921,828.772,9.4847,612819.8364,34132.3879,0.964,41.5213,10.0432,4.821,0.1657,0.5399,0.0669,1.7289
terminus-2,claude-haiku-4-5-20251001@anthropic,439,0.2847,0.2847,386.097,23.6117,1246572.9087,14693.2534,1.0,46.5353,,,0.066,0.2171,0.0654,1.9078
terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,923,0.2795,0.2795,397.553,88.3941,853930.1788,10003.7031,1.0,42.5255,,,0.0577,0.2098,0.0914,1.9186
claude-code,claude-haiku-4-5-20251001@anthropic,438,0.2763,0.2763,238.3325,25.9478,2649705.263,3012.9876,0.9201,33.0982,23.9941,10.6873,0.5017,0.2678,0.0885,1.8873
aone-agent,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@modelscope,442,0.2738,0.2738,766.4015,0.0,,,0.0,0.0,,,,,,
openhands,grok-4-0709@xai,444,0.2725,0.2725,964.653,2.886,422959.1106,2785.5841,0.9617,38.1486,17.9713,11.7529,0.2147,0.6206,0.0506,1.8171
openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,875,0.272,0.272,481.681,146.3193,1456415.9744,10189.7422,0.9829,96.3886,11.3302,5.5962,0.2444,0.692,0.0632,1.9152
mini-swe-agent,gemini-2.5-pro@gemini,444,0.2613,0.2613,369.4695,73.2047,1498765.0876,40554.9309,0.9797,26.2027,,,0.0,0.1248,0.1422,1.6756
mini-swe-agent,grok-code-fast-1@xai,445,0.2584,0.2584,177.278,1.3086,375993.1908,2791.4253,0.9798,22.827,,,0.0,0.1282,0.1317,1.8473
openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,878,0.2574,0.2574,440.939,329.8813,1655690.8295,12718.0899,0.9909,100.3622,13.0382,7.7924,0.2072,0.6821,0.0628,1.911
mini-swe-agent,grok-4-0709@xai,445,0.2539,0.2539,935.521,-19.6839,364004.1946,5414.0122,0.9281,21.9933,,,0.0,0.0862,0.1077,1.7499
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,904,0.2478,0.2478,268.645,11.6913,1122957.5885,11417.6792,1.0,57.5243,,,0.0522,0.233,0.1323,1.9186
terminus-2,gpt-5-mini@openai,438,0.2443,0.2443,442.6775,6.3621,282820.9384,20881.1027,0.9977,62.9155,,,0.1374,0.2707,0.013,1.7197
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,929,0.2411,0.2411,476.017,183.625,911077.1111,9028.5663,0.9989,44.9709,,,0.0494,0.2279,0.0916,1.9208
terminus-2,grok-4-0709@xai,436,0.2362,0.2362,835.2395,9.7164,93662.0966,3349.8621,1.0,26.6537,,,0.1446,0.2238,0.0432,1.6435
final,claude-4.5-sonnet@anthropic,322,0.2329,0.2329,924.921,0.0,,,0.0,0.0,,,,,,
mini-swe-agent,gpt-5-mini@openai,445,0.2225,0.2225,319.815,5.22,194309.3764,20752.4711,0.9753,10.3034,,,0.0,0.0174,0.1738,1.0721
gemini-cli,gemini-2.5-pro@gemini,437,0.1968,0.1968,495.518,40.9859,643415.0787,28408.1627,0.8719,16.3867,4.8663,3.7538,0.5604,0.2611,0.3556,1.4852
terminus-2,openai/gpt-oss-120b@together_ai,925,0.1924,0.1924,182.882,2.6852,143660.2958,8934.9025,0.9989,29.6605,,,0.1869,0.3046,0.2143,1.8107
terminus-2,gemini-2.5-flash@gemini,439,0.1708,0.1708,348.692,13.913,778001.754,33627.0706,0.9977,73.8223,,,0.1002,0.3244,0.0593,1.5781
mini-swe-agent,gemini-2.5-flash@gemini,445,0.1708,0.1708,313.608,35.5068,4944137.9513,65588.7077,0.9708,40.6831,,,0.0,0.1665,0.1302,1.6467
openhands,gemini-2.5-flash@gemini,445,0.164,0.164,404.907,21.4579,3172184.9083,31389.8303,0.9798,78.7034,20.3352,10.7479,0.2219,0.6433,0.0682,1.7631
openhands,gemini-2.5-pro@gemini,445,0.164,0.164,329.072,47.842,1722844.5149,10698.0506,0.9798,67.4315,12.2282,7.021,0.205,0.6593,0.0851,1.6706
gemini-cli,gemini-2.5-flash@gemini,439,0.1549,0.1549,179.976,7.1392,539480.9483,16631.0542,0.9248,12.9681,4.915,4.0646,0.5394,0.2569,0.3225,1.3296
mini-swe-agent,openai/gpt-oss-120b@together_ai,887,0.1421,0.1421,164.41,1.7442,91636.5329,6324.839,0.9966,11.5806,,,0.0,0.0622,0.1576,1.3081
terminus-2,grok-code-fast-1@xai,445,0.1416,0.1416,214.89,0.9192,141988.6667,2940.5495,1.0,23.209,,,0.1759,0.2805,0.0621,1.8056
openhands,claude-haiku-4-5-20251001@anthropic,444,0.1396,0.1396,1033.316,703.732,7287913.89,37426.7512,0.9414,42.759,35.0826,15.8678,0.1046,0.4408,0.0661,1.8225
codex,gpt-5-nano@openai,440,0.1159,0.1159,132.418,0.5061,141650.7801,8808.0686,0.9614,7.45,,,0.0786,0.0387,0.1418,1.2614
openhands,gpt-5-nano@openai,444,0.0991,0.0991,1007.9695,6.0166,1346248.8474,119035.3052,0.9617,60.4414,24.3822,16.0347,0.1386,0.5129,0.0596,1.918
terminus-2,gpt-5-nano@openai,436,0.0803,0.0803,931.7595,3.3785,675510.2179,58713.2179,0.9977,112.1353,,,0.077,0.4711,0.0266,1.7547
mini-swe-agent,gpt-5-nano@openai,445,0.0697,0.0697,214.214,1.0742,65166.6256,24848.0457,0.991,7.9034,,,0.0,0.0402,0.1633,1.0279
mini-swe-agent,openai/gpt-oss-20b@together_ai,888,0.0338,0.0338,95.5065,0.8261,129967.6109,8998.5317,0.9977,5.0676,,,0.0,0.1019,0.1291,0.7653
terminus-2,openai/gpt-oss-20b@together_ai,932,0.03,0.03,116.444,4.523,852401.6781,13048.0343,1.0,12.2275,,,0.2783,0.2827,0.1882,1.4525
