task_name,agent,runs,success_rate,trace_coverage,mean_tool_call_count,mean_first_edit_step,mean_pre_edit_tool_calls,mean_category_switch_rate,mean_repeated_tool_command_rate,mean_failure_rate,mean_post_failure_intent_entropy,mean_command_intent_entropy,mean_intent_switch_rate
bn-fit-modify,codex,36,0.75,0.3889,4.6944,,,0.0417,0.0637,0.2763,1.4145,1.6863,0.721
bn-fit-modify,deepagent-harbor,5,0.8,1.0,16.0,6.0,4.0,0.3597,0.0736,0.1137,1.7085,1.6669,0.4918
bn-fit-modify,final,5,0.0,0.0,0.0,,,,,,,,
bn-fit-modify,forge,5,1.0,0.0,0.0,,,,,,,,
bn-fit-modify,gemini-cli,18,0.5556,0.4444,7.4444,5.5,4.5,0.3806,0.1695,0.3826,1.5601,1.8983,0.8783
bn-fit-modify,goose,15,0.4667,0.0,0.0,,,,,,,,
bn-fit-modify,ii-agent-simple,5,0.8,0.0,0.0,,,,,,,,
bn-fit-modify,judy,5,1.0,0.2,10.0,13.0,12.0,0.5714,0.68,0.02,1.7059,1.5392,0.5306
bn-fit-modify,letta-code,15,0.9333,0.0,0.0,,,,,,,,
bn-fit-modify,mini-swe-agent,75,0.32,1.0,18.68,,,0.0,0.0577,0.202,1.4596,1.6263,0.5935
bn-fit-modify,mux,12,1.0,0.0,0.0,,,,,,,,
bn-fit-modify,opencode,1,1.0,0.0,0.0,,,,,,,,
bn-fit-modify,openhands,70,0.4143,0.9857,62.8429,16.06,10.44,0.2415,0.6013,0.0971,2.0741,2.1641,0.3518
bn-fit-modify,ruley,10,1.0,0.0,0.0,,,,,,,,
bn-fit-modify,sage,5,1.0,0.0,0.0,,,,,,,,
bn-fit-modify,simple_codex,5,1.0,0.0,0.0,,,,,,,,
bn-fit-modify,spoox-m,5,1.0,0.0,0.0,,,,,,,,
bn-fit-modify,terminus-2,203,0.2956,0.9261,36.7783,,,0.0808,0.1791,0.0971,2.1483,2.2077,0.7087
bn-fit-modify,terminus-3-3,10,1.0,0.7,24.8,,,0.1235,0.3295,0.0659,2.1559,2.255,0.5366
break-filter-js-from-html,Factory Droid,25,0.44,0.0,0.0,,,,,,,,
break-filter-js-from-html,Junie,5,0.6,0.0,0.0,,,,,,,,
break-filter-js-from-html,TerminalBenchAgent,5,0.0,0.0,0.0,,,,,,,,
break-filter-js-from-html,ante,5,1.0,0.0,0.0,,,,,,,,
break-filter-js-from-html,aone-agent,5,0.0,0.0,0.0,,,,,,,,
break-filter-js-from-html,claude-code,32,0.5938,0.8438,53.9375,11.3077,3.2308,0.5887,0.4923,0.0803,1.3526,1.5044,0.5608
break-filter-js-from-html,claude-code-enhanced,5,0.6,0.0,0.0,,,,,,,,
break-filter-js-from-html,codex,39,0.2821,0.4615,2.8205,,,0.0,0.0059,0.1058,1.3745,1.8497,0.8
break-filter-js-from-html,deepagent-harbor,5,0.6,1.0,29.0,5.0,3.0,0.6214,0.1206,0.03,1.9156,1.8624,0.6986
break-filter-js-from-html,final,2,1.0,0.0,0.0,,,,,,,,
break-filter-js-from-html,forge,5,0.8,0.0,0.0,,,,,,,,
break-filter-js-from-html,gemini-cli,19,0.2105,0.4737,4.0,2.1111,1.1111,0.7741,0.3668,0.4452,0.8424,1.5006,0.7806
break-filter-js-from-html,goose,15,0.0,0.0,0.0,,,,,,,,
break-filter-js-from-html,ii-agent-simple,5,1.0,0.0,0.0,,,,,,,,
break-filter-js-from-html,judy,5,1.0,0.2,8.8,9.0,9.0,0.2791,0.8182,0.0,,1.0676,0.2326
break-filter-js-from-html,letta-code,15,0.1333,0.0,0.0,,,,,,,,
break-filter-js-from-html,mini-swe-agent,75,0.0667,0.9867,31.9867,,,0.0,0.1568,0.0758,1.3981,1.4438,0.7254
break-filter-js-from-html,mux,12,0.9167,0.0,0.0,,,,,,,,
break-filter-js-from-html,opencode,1,0.0,0.0,0.0,,,,,,,,
break-filter-js-from-html,openhands,70,0.1714,0.9714,95.3,6.4462,1.1077,0.2337,0.6713,0.1096,1.8762,1.9286,0.3469
break-filter-js-from-html,ruley,10,0.6,0.0,0.0,,,,,,,,
break-filter-js-from-html,sage,5,0.6,0.0,0.0,,,,,,,,
break-filter-js-from-html,simple_codex,5,0.4,0.0,0.0,,,,,,,,
break-filter-js-from-html,spoox-m,5,0.0,0.0,0.0,,,,,,,,
break-filter-js-from-html,terminus-2,203,0.1675,0.9015,56.6502,,,0.0773,0.319,0.108,1.5639,1.6945,0.72
break-filter-js-from-html,terminus-3-3,10,1.0,0.8,20.4,,,0.0906,0.2228,0.1559,2.0814,2.3815,0.6568
build-cython-ext,Factory Droid,25,0.88,0.0,0.0,,,,,,,,
build-cython-ext,Junie,5,0.8,0.0,0.0,,,,,,,,
build-cython-ext,TerminalBenchAgent,5,0.0,0.0,0.0,,,,,,,,
build-cython-ext,ante,5,0.8,0.0,0.0,,,,,,,,
build-cython-ext,aone-agent,5,0.0,0.0,0.0,,,,,,,,
build-cython-ext,claude-code,32,0.5938,0.8438,57.5938,36.6538,21.1154,0.5602,0.3705,0.0468,2.3989,2.5164,0.677
build-cython-ext,claude-code-enhanced,5,1.0,0.0,0.0,,,,,,,,
build-cython-ext,codex,36,0.6944,0.3333,16.2222,,,0.0263,0.087,0.1243,2.4613,2.4957,0.6711
build-cython-ext,deepagent-harbor,5,1.0,1.0,95.6,20.4,23.4,0.297,0.4773,0.0457,2.1247,2.143,0.3972
build-cython-ext,final,2,1.0,0.0,0.0,,,,,,,,
build-cython-ext,forge,5,0.2,0.0,0.0,,,,,,,,
build-cython-ext,gemini-cli,18,0.3889,0.4444,19.7778,12.8571,12.0,0.5181,0.4826,0.1678,2.27,2.1555,0.7822
build-cython-ext,goose,15,0.5333,0.0,0.0,,,,,,,,
build-cython-ext,ii-agent-simple,5,0.6,0.0,0.0,,,,,,,,
build-cython-ext,judy,5,1.0,0.4,41.2,20.0,34.0,0.2696,0.7922,0.119,1.1128,1.195,0.2397
build-cython-ext,letta-code,15,0.7333,0.0,0.0,,,,,,,,
build-cython-ext,mini-swe-agent,75,0.08,1.0,27.6533,,,0.0,0.1473,0.1444,2.1454,2.0265,0.702
build-cython-ext,mux,12,1.0,0.0,0.0,,,,,,,,
build-cython-ext,opencode,1,1.0,0.0,0.0,,,,,,,,
build-cython-ext,openhands,70,0.0,1.0,146.9429,21.0294,12.8971,0.1744,0.6812,0.0701,2.4046,2.4818,0.3338
build-cython-ext,ruley,10,1.0,0.0,0.0,,,,,,,,
build-cython-ext,sage,5,1.0,0.0,0.0,,,,,,,,
build-cython-ext,simple_codex,5,1.0,0.0,0.0,,,,,,,,
build-cython-ext,spoox-m,5,0.0,0.0,0.0,,,,,,,,
build-cython-ext,terminus-2,203,0.1724,0.9064,46.6355,,,0.0225,0.2412,0.0939,2.491,2.5915,0.6976
build-cython-ext,terminus-3-3,10,0.9,0.9,47.1,,,0.0687,0.2733,0.0556,2.6519,2.8358,0.6962
build-pmars,Factory Droid,25,0.72,0.0,0.0,,,,,,,,
build-pmars,Junie,5,0.0,0.0,0.0,,,,,,,,
build-pmars,TerminalBenchAgent,5,1.0,0.0,0.0,,,,,,,,
build-pmars,ante,5,0.4,0.0,0.0,,,,,,,,
build-pmars,aone-agent,5,1.0,0.0,0.0,,,,,,,,
build-pmars,claude-code,33,0.3333,0.8485,24.9091,26.6522,13.4783,0.5235,0.2105,0.0864,2.5406,2.4398,0.7555
build-pmars,claude-code-enhanced,5,0.6,0.0,0.0,,,,,,,,
build-pmars,codex,38,0.8421,0.3684,7.7632,,,0.1281,0.0447,0.1275,1.3708,1.3425,0.4393
build-pmars,deepagent-harbor,5,1.0,1.0,52.4,8.2,6.2,0.3902,0.284,0.1189,1.9049,1.9413,0.5122
build-pmars,final,5,0.0,0.0,0.0,,,,,,,,
build-pmars,forge,5,1.0,0.0,0.0,,,,,,,,
build-pmars,gemini-cli,19,0.4211,0.4737,13.0526,14.0,13.625,0.3384,0.2493,0.4141,2.0871,2.064,0.6746
build-pmars,goose,15,0.7333,0.0,0.0,,,,,,,,
build-pmars,ii-agent-simple,5,0.6,0.0,0.0,,,,,,,,
build-pmars,judy,5,0.2,0.2,10.2,,,0.18,0.8627,0.0196,0.4427,0.5579,0.16
build-pmars,letta-code,15,0.6,0.0,0.0,,,,,,,,
build-pmars,mini-swe-agent,75,0.5867,1.0,17.0267,,,0.0,0.0284,0.1393,1.7463,1.9018,0.6161
build-pmars,mux,12,0.9167,0.0,0.0,,,,,,,,
build-pmars,opencode,1,0.0,0.0,0.0,,,,,,,,
build-pmars,openhands,70,0.5286,0.9714,56.0571,21.0566,15.6792,0.1673,0.548,0.0397,2.1174,2.1145,0.3362
build-pmars,ruley,10,0.7,0.0,0.0,,,,,,,,
build-pmars,sage,5,0.0,0.0,0.0,,,,,,,,
build-pmars,simple_codex,5,1.0,0.0,0.0,,,,,,,,
build-pmars,spoox-m,5,0.8,0.0,0.0,,,,,,,,
build-pmars,terminus-2,203,0.7143,0.9113,43.1281,,,0.0395,0.2399,0.1056,2.2965,2.2692,0.6044
build-pmars,terminus-3-3,10,0.8,0.9,28.1,,,0.0853,0.1053,0.0927,2.4909,2.4328,0.6532
build-pov-ray,Factory Droid,25,0.8,0.0,0.0,,,,,,,,
build-pov-ray,Junie,5,0.8,0.0,0.0,,,,,,,,
build-pov-ray,TerminalBenchAgent,5,0.6,0.0,0.0,,,,,,,,
build-pov-ray,ante,5,0.8,0.0,0.0,,,,,,,,
build-pov-ray,aone-agent,5,0.0,0.0,0.0,,,,,,,,
build-pov-ray,claude-code,32,0.8125,0.8438,49.6562,50.6667,27.2,0.429,0.2271,0.1159,2.476,2.5537,0.6803
build-pov-ray,claude-code-enhanced,5,1.0,0.0,0.0,,,,,,,,
build-pov-ray,codex,37,0.6216,0.3514,7.4324,,,0.0343,0.0169,0.2085,0.9472,0.8668,0.2909
build-pov-ray,deepagent-harbor,5,1.0,1.0,33.2,,,0.2375,0.0693,0.1254,1.6597,1.9403,0.429
build-pov-ray,final,5,0.0,0.0,0.0,,,,,,,,
build-pov-ray,forge,5,1.0,0.0,0.0,,,,,,,,
build-pov-ray,gemini-cli,18,0.8333,0.4444,18.7222,19.5,19.5,0.3149,0.2342,0.3605,2.2809,2.2795,0.6987
build-pov-ray,goose,15,0.7333,0.0,0.0,,,,,,,,
build-pov-ray,ii-agent-simple,5,1.0,0.0,0.0,,,,,,,,
build-pov-ray,judy,5,0.8,0.6,34.0,16.3333,25.3333,0.1958,0.8601,0.0524,0.6723,0.667,0.1778
build-pov-ray,letta-code,15,1.0,0.0,0.0,,,,,,,,
build-pov-ray,mini-swe-agent,75,0.3067,1.0,42.5067,,,0.0,0.0378,0.1553,1.9156,1.8394,0.5737
build-pov-ray,mux,12,0.8333,0.0,0.0,,,,,,,,
build-pov-ray,opencode,1,1.0,0.0,0.0,,,,,,,,
build-pov-ray,openhands,70,0.4,1.0,153.1857,40.3784,32.973,0.1208,0.5646,0.0743,2.0513,2.1974,0.3031
build-pov-ray,ruley,10,0.9,0.0,0.0,,,,,,,,
build-pov-ray,sage,5,1.0,0.0,0.0,,,,,,,,
build-pov-ray,simple_codex,5,1.0,0.0,0.0,,,,,,,,
build-pov-ray,spoox-m,5,0.4,0.0,0.0,,,,,,,,
build-pov-ray,terminus-2,200,0.41,0.91,114.85,,,0.0317,0.247,0.1298,2.3193,2.3075,0.619
build-pov-ray,terminus-3-3,10,0.9,0.8,48.8,,,0.06,0.1065,0.0962,2.7251,2.7812,0.6345
caffe-cifar-10,Factory Droid,25,0.0,0.0,0.0,,,,,,,,
caffe-cifar-10,Junie,5,0.0,0.0,0.0,,,,,,,,
caffe-cifar-10,TerminalBenchAgent,5,0.0,0.0,0.0,,,,,,,,
caffe-cifar-10,ante,5,0.2,0.0,0.0,,,,,,,,
caffe-cifar-10,aone-agent,5,0.0,0.0,0.0,,,,,,,,
caffe-cifar-10,claude-code,32,0.1875,0.8438,40.0938,22.0,10.3462,0.6069,0.2933,0.0659,2.4718,2.6553,0.7615
caffe-cifar-10,claude-code-enhanced,5,0.0,0.0,0.0,,,,,,,,
caffe-cifar-10,codex,36,0.0278,0.2778,3.4167,,,0.1704,0.1018,0.2707,0.4367,0.7731,0.3649
caffe-cifar-10,deepagent-harbor,5,0.0,1.0,3.4,,,0.25,0.1765,0.1765,0.9464,1.1596,0.375
caffe-cifar-10,final,2,1.0,0.0,0.0,,,,,,,,
caffe-cifar-10,forge,5,0.0,0.0,0.0,,,,,,,,
caffe-cifar-10,gemini-cli,18,0.0556,0.4444,11.4444,9.6,8.6,0.4931,0.2379,0.226,2.0695,2.1159,0.7216
caffe-cifar-10,goose,15,0.2,0.0,0.0,,,,,,,,
caffe-cifar-10,ii-agent-simple,5,0.0,0.0,0.0,,,,,,,,
caffe-cifar-10,judy,5,0.0,0.2,11.8,19.0,24.0,0.1724,0.8305,0.0678,0.3298,0.6227,0.1552
caffe-cifar-10,letta-code,15,0.0,0.0,0.0,,,,,,,,
caffe-cifar-10,mini-swe-agent,75,0.0,0.9867,25.3067,,,0.0,0.0454,0.1687,1.4899,1.5108,0.5064
caffe-cifar-10,mux,12,0.0,0.0,0.0,,,,,,,,
caffe-cifar-10,opencode,1,0.0,0.0,0.0,,,,,,,,
caffe-cifar-10,openhands,70,0.0,0.9857,46.6571,28.0909,19.3182,0.1814,0.5936,0.061,2.1043,2.3247,0.3599
caffe-cifar-10,ruley,10,0.0,0.0,0.0,,,,,,,,
caffe-cifar-10,sage,5,0.0,0.0,0.0,,,,,,,,
caffe-cifar-10,simple_codex,5,0.0,0.0,0.0,,,,,,,,
caffe-cifar-10,spoox-m,5,0.0,0.0,0.0,,,,,,,,
caffe-cifar-10,terminus-2,203,0.0,0.9261,47.3251,,,0.0062,0.2682,0.1423,2.2452,2.3377,0.6339
caffe-cifar-10,terminus-3-3,10,0.0,1.0,41.0,,,0.0,0.3208,0.0841,1.5221,2.0555,0.506
cancel-async-tasks,Factory Droid,25,0.64,0.0,0.0,,,,,,,,
cancel-async-tasks,Junie,5,0.8,0.0,0.0,,,,,,,,
cancel-async-tasks,TerminalBenchAgent,5,0.0,0.0,0.0,,,,,,,,
cancel-async-tasks,ante,5,1.0,0.0,0.0,,,,,,,,
cancel-async-tasks,aone-agent,5,0.8,0.0,0.0,,,,,,,,
cancel-async-tasks,claude-code,35,0.5143,0.8571,4.4,5.8667,0.2333,0.5549,0.0581,0.0254,1.0119,0.8067,0.6539
cancel-async-tasks,claude-code-enhanced,5,1.0,0.0,0.0,,,,,,,,
cancel-async-tasks,codex,37,0.3243,0.3514,0.4865,,,0.5,0.0556,0.0,,0.2364,0.75
cancel-async-tasks,deepagent-harbor,5,0.2,0.6,3.8,2.3333,0.3333,0.6889,0.0556,0.0556,1.585,1.6806,0.8222
cancel-async-tasks,final,5,0.0,0.0,0.0,,,,,,,,
cancel-async-tasks,forge,5,0.0,0.0,0.0,,,,,,,,
cancel-async-tasks,gemini-cli,18,0.2222,0.4444,0.6667,1.0,0.0,0.6667,0.0417,0.0,,0.25,0.6667
cancel-async-tasks,goose,15,0.2,0.0,0.0,,,,,,,,
cancel-async-tasks,ii-agent-simple,5,0.8,0.0,0.0,,,,,,,,
cancel-async-tasks,judy,5,0.8,0.2,6.0,5.0,4.0,0.6552,0.6667,0.0,,1.5928,0.6207
cancel-async-tasks,letta-code,15,0.2,0.0,0.0,,,,,,,,
cancel-async-tasks,mini-swe-agent,75,0.4,1.0,8.2,,,0.0,0.051,0.0647,1.5013,1.4086,0.72
cancel-async-tasks,mux,12,0.3333,0.0,0.0,,,,,,,,
cancel-async-tasks,opencode,1,0.0,0.0,0.0,,,,,,,,
cancel-async-tasks,openhands,70,0.4,1.0,22.1714,6.8358,1.791,0.3245,0.5087,0.0507,1.5574,1.6459,0.3711
cancel-async-tasks,ruley,10,0.8,0.0,0.0,,,,,,,,
cancel-async-tasks,sage,5,1.0,0.0,0.0,,,,,,,,
cancel-async-tasks,simple_codex,5,0.2,0.0,0.0,,,,,,,,
cancel-async-tasks,spoox-m,5,0.8,0.0,0.0,,,,,,,,
cancel-async-tasks,terminus-2,206,0.3835,0.9126,9.2379,,,0.2456,0.2151,0.0786,1.7999,1.8084,0.7119
cancel-async-tasks,terminus-3-3,10,1.0,0.9,18.3,,,0.2133,0.1991,0.0041,1.8424,2.125,0.7344
chess-best-move,Factory Droid,25,0.32,0.0,0.0,,,,,,,,
chess-best-move,Junie,5,0.4,0.0,0.0,,,,,,,,
chess-best-move,TerminalBenchAgent,5,0.0,0.0,0.0,,,,,,,,
chess-best-move,ante,5,0.2,0.0,0.0,,,,,,,,
chess-best-move,aone-agent,5,0.0,0.0,0.0,,,,,,,,
chess-best-move,claude-code,32,0.0,0.8438,2.0938,8.8148,1.4444,0.9427,0.0216,0.0046,1.2516,1.0914,0.9409
chess-best-move,claude-code-enhanced,5,0.4,0.0,0.0,,,,,,,,
chess-best-move,codex,36,0.3889,0.4167,1.6389,,,0.8667,0.0063,0.0198,0.361,0.6864,0.6667
chess-best-move,deepagent-harbor,5,0.4,1.0,11.2,22.0,20.0,0.3092,0.0278,0.0687,2.0977,2.1247,0.5556
chess-best-move,final,5,0.0,0.0,0.0,,,,,,,,
chess-best-move,forge,5,1.0,0.0,0.0,,,,,,,,
chess-best-move,gemini-cli,20,0.0,0.5,0.7,4.2,1.8,0.88,0.0333,0.0,,1.0503,0.88
chess-best-move,goose,15,0.0,0.0,0.0,,,,,,,,
chess-best-move,ii-agent-simple,5,0.0,0.0,0.0,,,,,,,,
chess-best-move,judy,5,0.8,0.2,5.6,7.0,5.0,0.7407,0.5357,0.0357,1.6383,1.6554,0.7407
chess-best-move,letta-code,15,0.0667,0.0,0.0,,,,,,,,
chess-best-move,mini-swe-agent,75,0.0,1.0,19.1067,,,0.0,0.084,0.0726,1.3485,1.4843,0.6164
chess-best-move,mux,12,0.9167,0.0,0.0,,,,,,,,
chess-best-move,opencode,1,0.0,0.0,0.0,,,,,,,,
chess-best-move,openhands,70,0.0571,0.9857,36.7857,15.7273,9.6818,0.2463,0.467,0.0769,1.8495,1.8293,0.359
chess-best-move,ruley,10,0.7,0.0,0.0,,,,,,,,
chess-best-move,sage,5,1.0,0.0,0.0,,,,,,,,
chess-best-move,simple_codex,5,1.0,0.0,0.0,,,,,,,,
chess-best-move,spoox-m,5,0.0,0.0,0.0,,,,,,,,
chess-best-move,terminus-2,205,0.039,0.9122,27.3073,,,0.1197,0.1414,0.0801,1.7152,1.8516,0.603
chess-best-move,terminus-3-3,10,0.8,0.8,24.4,,,0.2518,0.2262,0.0063,2.0245,2.3385,0.6501
circuit-fibsqrt,Factory Droid,25,0.84,0.0,0.0,,,,,,,,
circuit-fibsqrt,Junie,5,0.8,0.0,0.0,,,,,,,,
circuit-fibsqrt,TerminalBenchAgent,5,0.0,0.0,0.0,,,,,,,,
circuit-fibsqrt,ante,5,0.8,0.0,0.0,,,,,,,,
circuit-fibsqrt,aone-agent,5,0.0,0.0,0.0,,,,,,,,
circuit-fibsqrt,claude-code,35,0.2571,0.8571,58.8571,13.5517,4.8966,0.5862,0.3568,0.0724,2.1128,2.2298,0.7683
circuit-fibsqrt,claude-code-enhanced,1,1.0,0.0,0.0,,,,,,,,
circuit-fibsqrt,codex,40,0.3,0.45,6.725,,,0.0683,0.0516,0.0449,1.6739,1.5676,0.5837
circuit-fibsqrt,deepagent-harbor,5,1.0,1.0,19.0,,,0.1999,0.3347,0.054,1.9979,2.049,0.5654
circuit-fibsqrt,final,2,1.0,0.0,0.0,,,,,,,,
circuit-fibsqrt,forge,5,1.0,0.0,0.0,,,,,,,,
circuit-fibsqrt,gemini-cli,20,0.25,0.5,5.25,1.6,0.6,0.4446,0.3552,0.3404,0.9658,0.9402,0.6935
circuit-fibsqrt,goose,15,0.0667,0.0,0.0,,,,,,,,
circuit-fibsqrt,ii-agent-simple,5,0.8,0.0,0.0,,,,,,,,
circuit-fibsqrt,judy,5,0.8,0.4,7.6,8.0,8.0,0.5938,0.4788,0.0303,1.0409,1.3039,0.5781
circuit-fibsqrt,letta-code,15,0.6667,0.0,0.0,,,,,,,,
circuit-fibsqrt,mini-swe-agent,75,0.04,1.0,35.7067,,,0.0,0.1009,0.0865,1.2281,1.2755,0.5176
circuit-fibsqrt,mux,12,0.9167,0.0,0.0,,,,,,,,
circuit-fibsqrt,opencode,1,1.0,0.0,0.0,,,,,,,,
circuit-fibsqrt,openhands,70,0.0429,0.9857,129.2857,6.3091,0.9455,0.3009,0.6862,0.0286,1.6818,1.7752,0.3708
circuit-fibsqrt,ruley,10,0.8,0.0,0.0,,,,,,,,
circuit-fibsqrt,sage,5,0.4,0.0,0.0,,,,,,,,
circuit-fibsqrt,simple_codex,4,1.0,0.0,0.0,,,,,,,,
circuit-fibsqrt,spoox-m,5,0.0,0.0,0.0,,,,,,,,
circuit-fibsqrt,terminus-2,191,0.1466,0.9058,93.6545,,,0.066,0.3158,0.0268,1.6719,1.7703,0.5982
circuit-fibsqrt,terminus-3-3,10,1.0,0.9,22.1,,,0.1074,0.1479,0.0287,2.339,2.3718,0.6932
cobol-modernization,Factory Droid,25,1.0,0.0,0.0,,,,,,,,
cobol-modernization,Junie,5,1.0,0.0,0.0,,,,,,,,
cobol-modernization,TerminalBenchAgent,5,1.0,0.0,0.0,,,,,,,,
cobol-modernization,ante,5,1.0,0.0,0.0,,,,,,,,
cobol-modernization,aone-agent,5,0.6,0.0,0.0,,,,,,,,
cobol-modernization,claude-code,35,0.9429,0.8571,44.7714,38.8276,22.4828,0.2261,0.1651,0.0979,1.8836,1.9967,0.5654
cobol-modernization,claude-code-enhanced,5,1.0,0.0,0.0,,,,,,,,
cobol-modernization,codex,40,0.925,0.375,3.725,,,0.0598,0.0135,0.1643,1.1661,1.814,0.6314
cobol-modernization,deepagent-harbor,5,1.0,1.0,65.0,15.4,16.0,0.2965,0.1683,0.0507,1.574,1.8195,0.5644
cobol-modernization,final,2,1.0,0.0,0.0,,,,,,,,
cobol-modernization,forge,5,1.0,0.0,0.0,,,,,,,,
cobol-modernization,gemini-cli,20,0.75,0.45,13.25,3.5,2.875,0.3507,0.531,0.3474,1.6619,1.2932,0.4867
cobol-modernization,goose,15,1.0,0.0,0.0,,,,,,,,
cobol-modernization,ii-agent-simple,5,1.0,0.0,0.0,,,,,,,,
cobol-modernization,judy,5,1.0,0.2,20.6,19.0,28.0,0.2745,0.9029,0.0,,0.8632,0.2353
cobol-modernization,letta-code,15,1.0,0.0,0.0,,,,,,,,
cobol-modernization,mini-swe-agent,75,0.64,1.0,15.6133,,,0.0,0.0993,0.0528,1.6017,1.6697,0.655
cobol-modernization,mux,12,1.0,0.0,0.0,,,,,,,,
cobol-modernization,opencode,1,1.0,0.0,0.0,,,,,,,,
cobol-modernization,openhands,70,0.7,1.0,92.7286,8.9848,3.0606,0.1823,0.6298,0.0395,1.6727,1.7592,0.31
cobol-modernization,ruley,10,1.0,0.0,0.0,,,,,,,,
cobol-modernization,sage,5,1.0,0.0,0.0,,,,,,,,
cobol-modernization,simple_codex,5,1.0,0.0,0.0,,,,,,,,
cobol-modernization,spoox-m,5,1.0,0.0,0.0,,,,,,,,
cobol-modernization,terminus-2,203,0.7734,0.9163,52.7094,,,0.0288,0.2976,0.0626,1.8551,1.9985,0.485
cobol-modernization,terminus-3-3,10,1.0,0.6,33.7,,,0.0484,0.186,0.1279,1.9313,2.0638,0.5567
code-from-image,Factory Droid,25,0.88,0.0,0.0,,,,,,,,
code-from-image,Junie,5,0.8,0.0,0.0,,,,,,,,
code-from-image,TerminalBenchAgent,5,1.0,0.0,0.0,,,,,,,,
code-from-image,ante,5,1.0,0.0,0.0,,,,,,,,
code-from-image,aone-agent,5,1.0,0.0,0.0,,,,,,,,
code-from-image,claude-code,35,0.8571,0.8571,5.1429,8.3333,1.4074,0.933,0.0521,0.0046,1.3866,1.4782,0.9445
code-from-image,claude-code-enhanced,5,1.0,0.0,0.0,,,,,,,,
code-from-image,codex,40,0.975,0.5,1.375,,,0.8208,0.0243,0.0667,0.9591,1.2319,0.9583
code-from-image,deepagent-harbor,5,1.0,1.0,5.0,8.0,6.0,0.8833,0.0622,0.0,,1.1284,0.9333
code-from-image,final,2,1.0,0.0,0.0,,,,,,,,
code-from-image,forge,5,1.0,0.0,0.0,,,,,,,,
