task_name,agent_a,agent_b,runs_a,runs_b,success_a,success_b,success_gap,mean_tool_calls_a,mean_tool_calls_b,tool_call_gap,switch_rate_gap,repeat_rate_gap,intent_entropy_gap,process_gap_score
compile-compcert,gemini-cli,openhands,20,70,0.1,0.0429,0.0571,13.2,89.1429,75.9429,0.0657,0.3856,0.4455,89.4529
sam-cell-seg,judy,openhands,5,70,0.0,0.0,0.0,16.2,87.8857,71.6857,0.2378,0.2743,0.9477,89.2267
train-fasttext,codex,openhands,40,69,0.0,0.0,0.0,7.225,78.1014,70.8764,0.117,0.5151,0.4693,89.0254
qemu-alpine-ssh,claude-code,openhands,35,69,0.1714,0.2029,0.0315,15.4857,87.4783,71.9926,0.2027,0.4401,0.151,88.8176
cobol-modernization,gemini-cli,openhands,20,70,0.75,0.7,0.05,13.25,92.7286,79.4786,0.1684,0.0988,0.466,88.4886
install-windows-3.11,codex,deepagent-harbor,40,5,0.0,0.0,0.0,8.875,82.6,73.725,0.1546,0.3001,0.5697,87.941
install-windows-3.11,mini-swe-agent,openhands,75,70,0.0,0.0,0.0,15.5067,83.0571,67.5504,0.192,0.5079,0.5334,87.7149
overfull-hbox,codex,openhands,40,68,0.2,0.1029,0.0971,11.875,72.8971,61.0221,0.2822,0.6849,0.3542,86.9706
make-mips-interpreter,claude-code,codex,35,40,0.0857,0.075,0.0107,69.6,6.15,63.45,0.473,0.3542,0.4256,86.258
write-compressor,mini-swe-agent,openhands,73,70,0.0137,0.0,0.0137,16.0,78.3714,62.3714,0.2331,0.5492,0.77,85.7789
install-windows-3.11,claude-code,terminus-3-3,35,10,0.0,0.0,0.0,45.2857,117.3,72.0143,0.2281,0.1944,0.5899,85.5263
git-multibranch,mini-swe-agent,openhands,75,70,0.52,0.4429,0.0771,16.3867,81.0714,64.6847,0.2046,0.532,0.4826,85.5127
make-doom-for-mips,deepagent-harbor,terminus-3-3,5,10,0.0,0.0,0.0,9.6,77.0,67.4,0.3191,0.2009,0.8179,84.4895
install-windows-3.11,deepagent-harbor,gemini-cli,5,20,0.0,0.05,0.05,82.6,7.95,74.65,0.0885,0.2833,0.0431,84.1605
multi-source-data-merger,gemini-cli,openhands,20,70,0.75,0.8,0.05,4.7,59.9429,55.2429,0.4422,0.5148,0.8193,83.2644
install-windows-3.11,deepagent-harbor,mini-swe-agent,5,75,0.0,0.0,0.0,82.6,15.5067,67.0933,0.3144,0.303,0.1448,83.2523
regex-chess,mini-swe-agent,openhands,75,70,0.0,0.0143,0.0143,25.0133,86.3143,61.301,0.2379,0.5354,0.5048,83.1575
train-fasttext,codex,terminus-2,40,195,0.0,0.0462,0.0462,7.225,77.2513,70.0263,0.0657,0.4374,0.1049,83.1283
sam-cell-seg,mini-swe-agent,openhands,75,70,0.0133,0.0,0.0133,22.2933,87.8857,65.5924,0.1747,0.4674,0.2216,82.7529
path-tracing-reverse,gemini-cli,terminus-2,19,187,0.1053,0.0481,0.0572,5.7368,69.2086,63.4718,0.4631,0.263,0.1451,82.3498
schemelike-metacircular-eval,openhands,terminus-2,70,194,0.2,0.1289,0.0711,169.7,101.8814,67.8186,0.1477,0.4174,0.0734,82.3131
make-doom-for-mips,gemini-cli,terminus-3-3,20,10,0.0,0.0,0.0,19.0,77.0,58.0,0.6032,0.2554,0.515,82.04
query-optimize,gemini-cli,terminus-3-3,20,10,0.0,0.0,0.0,1.0,49.6,48.6,0.894,0.258,0.8487,81.6435
make-doom-for-mips,claude-code,deepagent-harbor,35,5,0.0,0.0,0.0,79.4571,9.6,69.8571,0.2402,0.0893,0.5775,80.9821
sam-cell-seg,claude-code,openhands,35,70,0.0,0.0,0.0,23.6286,87.8857,64.2571,0.3059,0.3034,0.1876,80.4276
make-doom-for-mips,claude-code,codex,35,40,0.0,0.0,0.0,79.4571,21.15,58.3071,0.5572,0.2707,0.1551,79.7801
make-mips-interpreter,codex,terminus-2,40,186,0.075,0.0215,0.0535,6.15,79.2527,73.1027,0.0003,0.1962,0.3395,79.7127
train-fasttext,judy,terminus-2,5,195,0.0,0.0462,0.0462,15.4,77.2513,61.8513,0.1533,0.2725,1.2668,78.8303
filter-js-from-html,claude-code,openhands,35,70,0.0,0.0,0.0,5.0286,55.4286,50.4,0.4191,0.5501,0.8044,78.652
fix-code-vulnerability,mini-swe-agent,openhands,75,70,0.3867,0.4143,0.0276,25.7467,83.4,57.6533,0.2662,0.5265,0.1394,78.1678
make-mips-interpreter,judy,terminus-2,5,186,0.0,0.0215,0.0215,22.2,79.2527,57.0527,0.099,0.5416,1.015,78.1427
polyglot-c-py,mini-swe-agent,openhands,75,69,0.0,0.029,0.029,10.4133,65.8841,55.4708,0.3063,0.5742,0.106,78.0133
train-fasttext,judy,openhands,5,69,0.0,0.0,0.0,15.4,78.1014,62.7014,0.0294,0.1948,1.841,77.5114
polyglot-rust-c,claude-code,codex,35,40,0.0286,0.025,0.0036,46.1429,1.275,44.8679,0.4742,0.592,1.1775,77.4104
extract-moves-from-video,codex,openhands,40,70,0.0,0.0286,0.0286,5.375,65.5857,60.2107,0.058,0.4608,0.7931,77.1462
llm-inference-batching-scheduler,mini-swe-agent,openhands,75,70,0.0933,0.1429,0.0496,27.84,83.6286,55.7886,0.2373,0.5631,0.2354,76.9756
multi-source-data-merger,mini-swe-agent,openhands,75,70,0.7467,0.8,0.0533,7.5067,59.9429,52.4362,0.242,0.5891,0.7364,76.8957
extract-moves-from-video,gemini-cli,openhands,20,70,0.0,0.0286,0.0286,4.25,65.5857,61.3357,0.0025,0.4482,0.8294,76.7502
circuit-fibsqrt,claude-code,codex,35,40,0.2571,0.3,0.0429,58.8571,6.725,52.1321,0.5179,0.3052,0.6622,76.0206
filter-js-from-html,codex,openhands,40,70,0.0,0.0,0.0,0.95,55.4286,54.4786,0.0421,0.6042,0.9517,75.3946
train-fasttext,claude-code,terminus-2,35,195,0.0,0.0462,0.0462,20.3714,77.2513,56.8799,0.3604,0.2803,0.4655,75.2249
winning-avg-corewars,deepagent-harbor,judy,5,5,1.0,1.0,0.0,83.6,14.0,69.6,0.0485,0.1563,0.0752,75.096
feal-linear-cryptanalysis,mini-swe-agent,openhands,75,70,0.1467,0.1286,0.0181,21.76,71.6571,49.8971,0.2294,0.6726,0.5224,75.0591
make-doom-for-mips,deepagent-harbor,terminus-2,5,195,0.0,0.0,0.0,9.6,68.8872,59.2872,0.3081,0.209,0.5587,75.0082
mteb-leaderboard,judy,terminus-3-3,5,10,0.2,0.1,0.1,100.4,46.4,54.0,0.3871,0.2598,0.8857,74.601
largest-eigenval,codex,openhands,40,70,0.225,0.1429,0.0821,12.075,67.5429,55.4679,0.2215,0.465,0.203,73.6454
large-scale-text-editing,openhands,terminus-2,70,194,0.3714,0.3814,0.01,119.3857,57.4485,61.9372,0.1418,0.2903,0.1737,73.6082
sanitize-git-repo,codex,openhands,40,70,0.3,0.2143,0.0857,7.3,63.7,56.4,0.1114,0.5659,0.0309,73.487
git-multibranch,judy,terminus-2,5,195,0.6,0.6923,0.0923,12.4,56.9538,44.5538,0.2733,0.6791,1.0119,73.4233
financial-document-processor,mini-swe-agent,openhands,75,69,0.0133,0.058,0.0447,20.2933,71.5072,51.2139,0.206,0.5275,0.7625,73.3639
make-doom-for-mips,claude-code,judy,35,5,0.0,0.0,0.0,79.4571,29.0,50.4571,0.3301,0.3552,1.1113,73.1461
make-mips-interpreter,claude-code,gemini-cli,35,20,0.0857,0.05,0.0357,69.6,10.65,58.95,0.2945,0.1787,0.4655,73.1075
polyglot-rust-c,claude-code,gemini-cli,35,20,0.0286,0.1,0.0714,46.1429,0.95,45.1929,0.3747,0.511,1.1258,72.9644
make-doom-for-mips,gemini-cli,terminus-2,20,195,0.0,0.0,0.0,19.0,68.8872,49.8872,0.5922,0.2635,0.2558,72.5587
regex-chess,claude-code,codex,35,40,0.0857,0.0,0.0857,52.4571,2.275,50.1821,0.4871,0.3438,0.2891,72.4001
path-tracing,claude-code,openhands,35,70,0.1429,0.0571,0.0858,51.5429,109.9429,58.4,0.0671,0.4675,0.0983,72.2565
break-filter-js-from-html,gemini-cli,terminus-2,19,203,0.2105,0.1675,0.043,4.0,56.6502,52.6502,0.6968,0.0478,0.1939,72.2347
make-doom-for-mips,judy,terminus-3-3,5,10,0.0,0.0,0.0,29.0,77.0,48.0,0.2292,0.4668,1.3517,72.1585
winning-avg-corewars,gemini-cli,mini-swe-agent,20,75,0.25,0.1867,0.0633,22.3,58.2533,35.9533,0.8241,0.612,0.0059,71.8853
make-mips-interpreter,claude-code,judy,35,5,0.0857,0.0,0.0857,69.6,22.2,47.4,0.3737,0.3836,1.1011,71.838
custom-memory-heap-crash,mini-swe-agent,openhands,75,69,0.4933,0.4928,0.0005,17.8,67.4638,49.6638,0.2342,0.5835,0.3168,71.6903
train-fasttext,claude-code,openhands,35,69,0.0,0.0,0.0,20.3714,78.1014,57.73,0.1777,0.358,0.1087,71.666
distribution-search,gemini-cli,openhands,20,70,0.45,0.4,0.05,5.45,55.9143,50.4643,0.6472,0.0059,0.9474,71.5288
regex-chess,gemini-cli,terminus-2,20,191,0.0,0.0471,0.0471,3.25,46.9319,43.6819,0.8402,0.0436,1.1381,71.4674
mteb-retrieve,gemini-cli,openhands,20,69,0.1,0.029,0.071,2.8,43.7101,40.9101,0.6907,0.4288,0.4945,71.3701
cobol-modernization,codex,deepagent-harbor,40,5,0.925,1.0,0.075,3.725,65.0,61.275,0.2367,0.1548,0.0055,71.09
regex-chess,claude-code,gemini-cli,35,20,0.0857,0.0,0.0857,52.4571,3.25,49.2071,0.4534,0.1499,1.3405,70.9921
db-wal-recovery,gemini-cli,terminus-3-3,20,10,0.0,0.1,0.1,17.55,71.5,53.95,0.3773,0.1657,0.67,70.875
dna-assembly,gemini-cli,openhands,20,69,0.05,0.0,0.05,5.85,58.5507,52.7007,0.3507,0.3546,0.0873,70.7697
feal-differential-cryptanalysis,mini-swe-agent,openhands,75,70,0.12,0.1286,0.0086,20.2667,67.0714,46.8047,0.3171,0.62,0.0814,70.6392
polyglot-rust-c,gemini-cli,terminus-2,20,187,0.1,0.0107,0.0893,0.95,36.9786,36.0286,0.8595,0.2289,1.3424,69.9506
path-tracing,claude-code,gemini-cli,35,20,0.1429,0.15,0.0071,51.5429,2.6,48.9429,0.561,0.097,0.8484,69.6349
video-processing,deepagent-harbor,openhands,5,70,0.0,0.0,0.0,5.2,52.9714,47.7714,0.4625,0.2987,0.5388,69.4954
mteb-retrieve,claude-code,openhands,35,69,0.0,0.029,0.029,5.2,43.7101,38.5101,0.7605,0.3453,0.6313,69.3116
install-windows-3.11,codex,terminus-2,40,194,0.0,0.0052,0.0052,8.875,69.4639,60.5889,0.0887,0.1379,0.587,69.1889
feal-linear-cryptanalysis,claude-code,openhands,35,70,0.0286,0.1286,0.1,19.0,71.6571,52.6571,0.2058,0.4413,0.0516,69.0926
train-fasttext,openhands,terminus-3-3,69,10,0.0,0.1,0.1,78.1014,130.3,52.1986,0.1982,0.2135,1.3034,69.0081
compile-compcert,deepagent-harbor,terminus-3-3,5,10,0.8,0.8,0.0,89.8,135.8,46.0,0.3357,0.4776,0.5171,68.918
largest-eigenval,mini-swe-agent,openhands,75,70,0.1067,0.1429,0.0362,19.3333,67.5429,48.2096,0.3021,0.5096,0.0702,68.8531
install-windows-3.11,gemini-cli,terminus-2,20,194,0.05,0.0052,0.0448,7.95,69.4639,61.5139,0.1548,0.1211,0.0604,68.7134
kv-store-grpc,mini-swe-agent,openhands,75,70,0.3733,0.4571,0.0838,8.72,54.7857,46.0657,0.2049,0.5481,0.7281,68.5312
write-compressor,claude-code,openhands,35,70,0.0857,0.0,0.0857,28.4571,78.3714,49.9143,0.3492,0.3801,0.0572,68.4328
db-wal-recovery,gemini-cli,openhands,20,69,0.0,0.029,0.029,17.55,70.2754,52.7254,0.2404,0.2758,0.5534,68.3974
video-processing,codex,openhands,40,70,0.025,0.0,0.025,1.725,52.9714,51.2464,0.0595,0.3819,1.196,68.2614
filter-js-from-html,mini-swe-agent,openhands,75,70,0.0,0.0,0.0,10.4267,55.4286,45.0019,0.3278,0.5768,0.1179,68.2064
cobol-modernization,deepagent-harbor,judy,5,5,1.0,1.0,0.0,65.0,20.6,44.4,0.022,0.7346,0.9563,68.0965
hf-model-inference,mini-swe-agent,openhands,75,69,0.52,0.5217,0.0017,16.8533,62.5362,45.6829,0.2111,0.5371,0.7406,68.0909
build-cython-ext,deepagent-harbor,judy,5,5,1.0,1.0,0.0,95.6,41.2,54.4,0.0274,0.3149,0.948,67.6975
sam-cell-seg,gemini-cli,terminus-3-3,20,10,0.1,0.0,0.1,4.05,42.1,38.05,0.5579,0.4988,0.5825,67.38
chess-best-move,claude-code,openhands,32,70,0.0,0.0571,0.0571,2.0938,36.7857,34.6919,0.6964,0.4454,0.7379,66.9264
chess-best-move,gemini-cli,openhands,20,70,0.0,0.0571,0.0571,0.7,36.7857,36.0857,0.6337,0.4337,0.779,66.6657
make-doom-for-mips,claude-code,gemini-cli,35,20,0.0,0.0,0.0,79.4571,19.0,60.4571,0.0439,0.1438,0.2746,66.5226
regex-chess,claude-code,judy,35,5,0.0857,0.0,0.0857,52.4571,1.6,50.8571,0.2133,0.2639,0.7424,66.4991
bn-fit-modify,mini-swe-agent,openhands,75,70,0.32,0.4143,0.0943,18.68,62.8429,44.1629,0.2415,0.5436,0.5378,66.4794
filter-js-from-html,gemini-cli,openhands,20,70,0.0,0.0,0.0,9.4,55.4286,46.0286,0.4686,0.2708,0.3411,66.2191
distribution-search,mini-swe-agent,openhands,75,70,0.44,0.4,0.04,13.8267,55.9143,42.0876,0.2695,0.5369,0.7806,66.1506
path-tracing-reverse,codex,terminus-2,40,187,0.125,0.0481,0.0769,11.625,69.2086,57.5836,0.0415,0.1882,0.4966,65.8091
overfull-hbox,codex,gemini-cli,40,20,0.2,0.3,0.1,11.875,36.05,24.175,0.7285,0.8399,0.4555,65.6625
dna-assembly,mini-swe-agent,openhands,74,69,0.0,0.0,0.0,14.1622,58.5507,44.3885,0.1874,0.5285,0.6425,65.4985
sam-cell-seg,gemini-cli,terminus-2,20,193,0.1,0.0155,0.0845,4.05,45.7979,41.7479,0.5306,0.2322,0.8975,65.3054
path-tracing,deepagent-harbor,judy,5,5,0.6,0.6,0.0,62.0,19.0,43.0,0.1053,0.5565,1.1426,65.258
extract-moves-from-video,gemini-cli,terminus-2,20,193,0.0,0.0,0.0,4.25,58.456,54.206,0.1244,0.1889,0.6426,65.2515
polyglot-c-py,claude-code,openhands,35,69,0.0,0.029,0.029,15.2286,65.8841,50.6555,0.1398,0.3794,0.32,65.2355
polyglot-rust-c,openhands,terminus-2,69,187,0.0725,0.0107,0.0618,87.1884,36.9786,50.2098,0.2222,0.3777,0.0052,65.2333
large-scale-text-editing,gemini-cli,terminus-2,20,194,0.3,0.3814,0.0814,8.7,57.4485,48.7485,0.4511,0.0633,0.6408,64.8125
count-dataset-tokens,mini-swe-agent,openhands,75,70,0.12,0.1429,0.0229,11.36,55.0714,43.7114,0.2253,0.5256,0.4604,64.7859
train-fasttext,terminus-2,terminus-3-3,195,10,0.0462,0.1,0.0538,77.2513,130.3,53.0487,0.0155,0.2912,0.7292,64.3622
make-mips-interpreter,claude-code,mini-swe-agent,35,75,0.0857,0.0133,0.0724,69.6,26.2667,43.3333,0.501,0.2497,0.431,64.2558
mailman,claude-code,judy,35,5,0.7143,0.8,0.0857,51.5429,16.0,35.5429,0.2116,0.6475,1.4391,64.2159
sam-cell-seg,deepagent-harbor,openhands,5,70,0.0,0.0,0.0,41.2,87.8857,46.6857,0.333,0.3471,0.0897,64.1367
video-processing,mini-swe-agent,openhands,75,70,0.0,0.0,0.0,9.84,52.9714,43.1314,0.2677,0.4678,0.4802,63.9199
portfolio-optimization,gemini-cli,openhands,20,69,0.75,0.6667,0.0833,4.25,49.1014,44.8514,0.2732,0.4841,0.0257,63.9124
circuit-fibsqrt,claude-code,gemini-cli,35,20,0.2571,0.25,0.0071,58.8571,5.25,53.6071,0.1416,0.0016,1.2896,63.6351
caffe-cifar-10,codex,openhands,36,70,0.0278,0.0,0.0278,3.4167,46.6571,43.2404,0.011,0.4918,1.5516,63.5684
db-wal-recovery,codex,terminus-3-3,40,10,0.15,0.1,0.05,11.85,71.5,59.65,0.0172,0.056,0.4132,63.546
extract-moves-from-video,claude-code,openhands,35,70,0.0,0.0286,0.0286,15.6571,65.5857,49.9286,0.1576,0.3768,0.0215,63.3961
gpt2-codegolf,gemini-cli,openhands,20,70,0.0,0.0,0.0,1.95,43.9143,41.9643,0.2244,0.3313,1.5054,63.3838
mteb-leaderboard,gemini-cli,terminus-3-3,20,10,0.1,0.1,0.0,6.45,46.4,39.95,0.3233,0.4237,0.9434,63.342
git-multibranch,codex,terminus-2,40,195,0.75,0.6923,0.0577,5.875,56.9538,51.0788,0.3063,0.0034,0.8973,63.3078
compile-compcert,gemini-cli,mini-swe-agent,20,75,0.1,0.0533,0.0467,13.2,68.7733,55.5733,0.193,0.0802,0.1701,63.2538
dna-assembly,codex,openhands,40,69,0.0,0.0,0.0,18.15,58.5507,40.4007,0.1864,0.604,0.5728,63.0247
path-tracing,openhands,terminus-2,70,187,0.0571,0.0267,0.0304,109.9429,61.2139,48.729,0.1555,0.3948,0.0968,62.9705
nginx-request-logging,codex,openhands,40,70,0.875,0.8,0.075,2.025,44.8143,42.7893,0.1383,0.4254,1.199,62.8768
extract-moves-from-video,codex,terminus-2,40,193,0.0,0.0,0.0,5.375,58.456,53.081,0.0689,0.2015,0.6063,62.8725
hf-model-inference,claude-code,openhands,35,69,0.6,0.5217,0.0783,16.9143,62.5362,45.6219,0.3602,0.2987,0.1506,62.8474
path-tracing-reverse,openhands,terminus-2,70,187,0.0571,0.0481,0.009,117.1571,69.2086,47.9485,0.1457,0.4008,0.2416,62.819
protein-assembly,mini-swe-agent,openhands,75,70,0.04,0.0429,0.0029,14.3467,52.1,37.7533,0.221,0.6883,0.4615,62.7933
build-cython-ext,deepagent-harbor,terminus-3-3,5,10,1.0,0.9,0.1,95.6,47.1,48.5,0.2283,0.204,0.6928,62.7715
video-processing,gemini-cli,openhands,20,70,0.1,0.0,0.1,4.6,52.9714,48.3714,0.3669,0.1659,0.2018,62.7004
make-doom-for-mips,judy,terminus-2,5,195,0.0,0.0,0.0,29.0,68.8872,39.8872,0.2182,0.4749,1.0925,62.6772
gpt2-codegolf,codex,openhands,40,70,0.0,0.0,0.0,0.875,43.9143,43.0393,0.0568,0.4641,1.3177,62.6503
multi-source-data-merger,openhands,terminus-2,70,195,0.8,0.8872,0.0872,59.9429,13.3795,46.5634,0.1133,0.4911,0.1625,62.4859
caffe-cifar-10,judy,terminus-2,5,203,0.0,0.0,0.0,11.8,47.3251,35.5251,0.1662,0.5623,1.715,62.3126
qemu-alpine-ssh,judy,terminus-3-3,5,10,1.0,0.9,0.1,19.2,60.2,41.0,0.1298,0.5049,1.0568,62.1515
