agent,runs,success_rate,mean_reward,median_duration_seconds,mean_input_tokens,mean_output_tokens,mean_cost_cents,trace_coverage,mean_step_count,mean_tool_call_count,mean_shell_tool_calls,mean_read_tool_calls,mean_edit_tool_calls,mean_other_tool_calls,mean_first_edit_step,mean_pre_edit_tool_calls,mean_category_switch_rate,mean_longest_same_category_run,mean_repeated_tool_command_rate,mean_tool_category_entropy,mean_command_intent_entropy,mean_intent_switch_rate,mean_failed_tool_call_count,mean_failure_rate,mean_first_failure_step,mean_post_failure_tool_calls,mean_post_failure_intent_entropy,mean_inspect_intent_calls,mean_search_intent_calls,mean_read_intent_calls,mean_edit_intent_calls,mean_test_intent_calls,mean_build_intent_calls,mean_dependency_intent_calls,mean_run_intent_calls,mean_plan_intent_calls,mean_other_intent_calls,conditional_mean_category_switch_rate_failure,conditional_mean_category_switch_rate_success,conditional_mean_step_count_failure,conditional_mean_step_count_success,conditional_mean_tool_call_count_failure,conditional_mean_tool_call_count_success,tool_call_success_minus_failure,mean_shell_tool_share,mean_read_tool_share,mean_edit_tool_share,mean_other_tool_share,mean_inspect_intent_share,mean_search_intent_share,mean_read_intent_share,mean_edit_intent_share,mean_test_intent_share,mean_build_intent_share,mean_dependency_intent_share,mean_run_intent_share,mean_plan_intent_share,mean_other_intent_share,task_adjusted_success_lift,task_agent_cells
ruley,890,0.6629,0.6629,415.222,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.26711460674157306,89
terminus-3-3,887,0.7486,0.7486,526.539,1244062.9064,25795.1105,80.1932,0.7644,23.0271,34.0868,31.2559,0.8512,0.0,1.9797,,,0.1045,27.0767,0.2429,0.4607,2.1056,0.59,1.9977,0.0553,7.3694,19.7644,1.9951,2.3382,1.2706,5.8399,2.1691,0.0699,0.5389,1.1387,2.8602,0.0,15.664,0.0802,0.1127,46.2035,24.6601,68.3953,36.504,-31.8914,0.9169505539937158,0.024971060029766824,0.0,0.05807838597651728,0.06859546804041448,0.03727542626471244,0.17132438363237384,0.0636346034241994,0.0020506471713390524,0.015809638921811378,0.03340589319032588,0.08390931386929838,0.0,0.4595327223441332,0.35203833145434044,89
forge,445,0.7843,0.7843,284.894,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.3884629213483146,89
judy,445,0.7191,0.7191,598.321,,,0.0,0.3528,13.5393,15.782,11.5528,1.4966,1.2921,0.5798,10.0438,13.4964,0.3702,4.9079,0.7528,1.2869,1.0898,0.3393,0.9438,0.0544,11.1977,7.4652,0.9393,0.0,0.0,1.4966,1.2921,0.0,0.0,0.0,0.0,0.8607,12.1326,0.371,0.37,37.4595,38.6583,44.6486,44.7583,0.1097,0.7320233518439414,0.09483126868859462,0.08187384308699987,0.03673643741990602,0.0,0.0,0.09482955265492332,0.081871752629578,0.0,0.0,0.0,0.0,0.05453681409200355,0.7687618806234952,0.32329438202247196,89
sage,445,0.6517,0.6517,305.277,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.25587865168539325,89
Junie,445,0.6427,0.6427,293.832,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.24688988764044945,89
ii-agent-simple,445,0.618,0.618,473.441,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.22217078651685396,89
TerminalBenchAgent,445,0.4652,0.4652,392.449,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.06936179775280898,89
spoox-m,445,0.3483,0.3483,879.823,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-0.047492134831460676,89
ante,444,0.6486,0.6486,313.2225,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.25212522522522524,89
simple_codex,443,0.7494,0.7494,655.551,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.3526024830699775,89
aone-agent,442,0.2738,0.2738,766.4015,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-0.124620814479638,89
deepagent-harbor,433,0.6767,0.6767,584.768,,,0.0,0.963,28.6443,26.3764,14.4919,7.4711,2.2633,1.776,15.4214,14.5821,0.398,8.1178,0.2038,1.2521,1.6966,0.5338,2.3903,0.0941,7.6601,18.6536,1.6334,0.8868,0.0069,7.5058,3.2263,0.0993,0.3695,0.6628,4.5843,0.3741,8.6605,0.4156,0.3936,21.4586,33.6232,18.2932,31.6479,13.3547,0.5494264950529726,0.2832501532265126,0.08580684703616145,0.06733210752123281,0.03362096419526547,0.0002615974886641088,0.2845649899152272,0.12231767792420498,0.003764729075992175,0.01400873508136061,0.02512852398356106,0.1738030967076629,0.014183133407136683,0.32834276095297316,0.2719568129330254,89
claude-code-enhanced,398,0.6608,0.6608,486.473,2970626.4831,3886.3876,9.1695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.2706620603015075,89
final,322,0.2329,0.2329,924.921,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-0.1463,89
opencode,89,0.5169,0.5169,405.475,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.12104719101123594,89
