agent,model_a,model_b,runs_a,runs_b,success_a,success_b,success_gap,mean_tool_calls_a,mean_tool_calls_b,tool_call_gap,switch_rate_gap,repeat_rate_gap,process_gap_score
terminus-2,gpt-5-codex@openai,moonshotai/Kimi-K2-Thinking@together_ai,437,892,0.4416,0.3587,0.0829,31.7941,60.7377,28.9436,0.0285,0.0031,29.7336
mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,openai/gpt-oss-120b@together_ai,442,887,0.4253,0.1421,0.2832,41.1968,11.5806,29.6162,0.0,0.0029,29.6887
terminus-2,gemini-2.5-flash@gemini,gpt-5@openai,439,438,0.1708,0.3562,0.1854,73.8223,46.3562,27.4661,0.0149,0.0736,29.6786
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,gemini-2.5-pro@gemini,904,442,0.2478,0.3281,0.0803,57.5243,30.6086,26.9157,0.0609,0.046,29.5882
terminus-2,gpt-5.2@openai,grok-code-fast-1@xai,444,445,0.5405,0.1416,0.3989,47.5766,23.209,24.3676,0.1048,0.0931,29.3151
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,gemini-3-pro-preview@gemini,904,445,0.2478,0.5685,0.3207,57.5243,30.209,27.3153,0.0422,0.0375,29.3078
terminus-2,deepseek-v3.2@deepseek,gemini-3-flash-preview@gemini,445,445,0.3955,0.5169,0.1214,60.4247,34.7506,25.6741,0.0999,0.0408,29.1916
openhands,gpt-5-nano@openai,gpt-5@openai,444,445,0.0991,0.4382,0.3391,60.4414,35.1079,25.3335,0.0647,0.0829,29.0235
mini-swe-agent,claude-haiku-4-5-20251001@anthropic,gpt-5-mini@openai,444,445,0.2973,0.2225,0.0748,38.3671,10.3034,28.0637,0.0,0.0279,28.7612
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,claude-opus-4-6@anthropic,904,445,0.2478,0.6292,0.3814,57.5243,31.3438,26.1805,0.024,0.0719,28.578
terminus-2,minimax-m2.5@Minimax,moonshotai/Kimi-K2-Thinking@together_ai,445,892,0.4225,0.3587,0.0638,33.8584,60.7377,26.8793,0.0034,0.0606,28.4793
terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,grok-code-fast-1@xai,902,445,0.306,0.1416,0.1644,47.1419,23.209,23.9329,0.1261,0.0489,28.3079
terminus-2,gemini-3-flash-preview@gemini,moonshotai/Kimi-K2-Thinking@together_ai,445,892,0.5169,0.3587,0.1582,34.7506,60.7377,25.9871,0.0854,0.0053,28.2546
terminus-2,gemini-3-flash-preview@gemini,openai/gpt-oss-20b@together_ai,445,932,0.5169,0.03,0.4869,34.7506,12.2275,22.5231,0.1564,0.0725,28.2456
